    320   17980   17980 0.001251      -266816.000
    321   17654   17654 0.000618      -267700.000
    322   18072   18072 0.000305      -268580.000
    323   18030   18030 0.000420      -268784.000
    324   17506   17506 0.000786      -268000.000
    325   17346   17346 0.000252      -267736.000
    326   17638   17638 0.000771      -268016.000
    327   17860   17860 0.000168      -267792.000
    328   18570   18570 0.000008      -268008.000
    329   18458   18458 0.001579      -267912.000
    330   17786   17786 0.001076      -267456.000
    331   17972   17972 0.000153      -267920.000
    332   18198   18198 0.000130      -268308.000
    333   17848   17848 0.001450      -268648.000
    334   17570   17570 0.001427      -267880.000
    335   17046   17046 0.000069      -267768.000
    336   17930   17930 0.000542      -267868.000
    337   18504   18504 0.000275      -267320.000
    338   19126   19126 0.001320      -266900.000
    339   18482   18482 0.000771      -267572.000
    340   18024   18024 0.000778      -267072.000
    341   18440   18440 0.000702      -268032.000
    342   18194   18194 0.000404      -268052.000
    343   17638   17638 0.000328      -268428.000
    344   17876   17876 0.000015      -268544.000
    345   17586   17586 0.000237      -267860.000
    346   18200   18200 0.000153      -268208.000
    347   18588   18588 0.001312      -267288.000
    348   18926   18926 0.001030      -267564.000
    349   18090   18090 0.000252      -267412.000
    350   17864   17864 0.001022      -267688.000
    351   18160   18160 0.000443      -267968.000
    352   17850   17850 0.001213      -267988.000
    353   17780   17780 0.001251      -267976.000
    354   17734   17734 0.000465      -267668.000
    355   17466   17466 0.000343      -267548.000
    356   18680   18680 0.000473      -267820.000
    357   19094   19094 0.002357      -267744.000
    358   19670   19670 0.000175      -267584.000
    359   18698   18698 0.000725      -267080.000
    360   18538   18538 0.000084      -266988.000
    361   18560   18560 0.000519      -268012.000
    362   18398   18398 0.002510      -268176.000
    363   18084   18084 0.001038      -267996.000
    364   17858   17858 0.000008      -267640.000
    365   17536   17536 0.001480      -267568.000
    366   18212   18212 0.001556      -267640.000
    367   18660   18660 0.001984      -267528.000
    368   18910   18910 0.000786      -267696.000
    369   17882   17882 0.000481      -267192.000
    370   17890   17890 0.000298      -267524.000
    371   18202   18202 0.000145      -268164.000
    372   17720   17720 0.000183      -268160.000
    373   17858   17858 0.001595      -268216.000
    374   17384   17384 0.001221      -267420.000
    375   17726   17726 0.001823      -267204.000
    376   17954   17954 0.001610      -267792.000
    377   18846   18846 0.000389      -267836.000
    378   18166   18166 0.000923      -267976.000
    379   17558   17558 0.000252      -267604.000
    380   17932   17932 0.001099      -266816.000
    381   17830   17830 0.000740      -268164.000
    382   17420   17420 0.000031      -268592.000
    383   17318   17318 0.000969      -267788.000
    384   16842   16842 0.000359      -267468.000
    385   17592   17592 0.000656      -267596.000
    386   17730   17730 0.000374      -267664.000
    387   18712   18712 0.000061      -268112.000
    388   17582   17582 0.000542      -267872.000
    389   17492   17492 0.000214      -267892.000
    390   17196   17196 0.000793      -267364.000
    391   17722   17722 0.000954      -267956.000
    392   17240   17240 0.000259      -268412.000
    393   17308   17308 0.001923      -268316.000
    394   17250   17250 0.000237      -267500.000
    395   17364   17364 0.000381      -267484.000
    396   18148   18148 0.001099      -267980.000
    397   19076   19076 0.001282      -267964.000
    398   18182   18182 0.000511      -267584.000
    399   18198   18198 0.000877      -267040.000
    400   18264   18264 0.000336      -267752.000
    401   18496   18496 0.000275      -268676.000
    402   18526   18526 0.000359      -268400.000
    403   18080   18080 0.000931      -268456.000
    404   18260   18260 0.000168      -267832.000
    405   18004   18004 0.000549      -267828.000
    406   18310   18310 0.000404      -267864.000
    407   19070   19070 0.000847      -267740.000
    408   18178   18178 0.000084      -267360.000
