 tiempo ave_magnetization ave_absmagnetization ave_energy
         335   5.11999989       63.6800003      -357.200012    
         336   3.75999999       63.0400009      -354.959991    
         337   4.28000021       61.0800018      -354.000000    
         338   4.67999983       66.2799988      -365.200012    
         339   5.11999989       63.6800003      -357.600006    
         340   4.28000021       65.8000031      -354.320007    
         341  -5.00000000       68.5999985      -357.600006    
         342  -5.03999996       66.6399994      -357.279999    
         343  -5.76000023       63.4399986      -348.000000    
         344  -10.1599998       69.5999985      -347.440002    
         345  -16.5599995       65.1200027      -360.000000    
         346  -18.6000004       66.7600021      -349.519989    
         347  -19.0000000       67.4800034      -357.760010    
         348  -19.4400005       65.1200027      -362.799988    
         349  -20.4799995       70.0000000      -362.480011    
         350  -18.1599998       68.5599976      -362.160004    
         351  -17.2399998       66.2799988      -362.079987    
         352  -12.8000002       64.4800034      -362.720001    
         353  -12.5600004       61.4399986      -355.440002    
         354  -11.4399996       58.3199997      -363.359985    
         355  -11.5600004       50.9199982      -355.679993    
         356  -11.8800001       56.2000008      -351.119995    
         357  -11.8800001       55.6399994      -347.200012    
         358  -16.1200008       56.7599983      -361.279999    
         359  -18.7600002       57.5600014      -360.000000    
         360  -14.9200001       64.1200027      -360.320007    
         361  -13.7600002       66.6399994      -357.600006    
         362  -9.96000004       63.4799995      -353.040009    
         363  -6.88000011       59.5999985      -364.959991    
         364  -6.51999998       59.3199997      -361.519989    
         365  -14.5600004       64.0000000      -365.359985    
         366  -16.0000000       69.0400009      -362.959991    
         367  -14.1999998       69.3199997      -367.760010    
         368  -10.2399998       78.3199997      -368.559998    
         369  -7.67999983       78.8799973      -372.079987    
         370  -11.1599998       77.8000031      -373.920013    
         371  -6.19999981       73.3199997      -359.600006    
         372  -9.80000019       71.8000031      -367.040009    
         373  -9.68000031       70.1600037      -369.279999    
         374  -2.92000008       73.8000031      -370.640015    
         375 -0.759999990       73.4800034      -362.000000    
         376  -1.12000000       67.0400009      -359.920013    
         377   4.28000021       65.9599991      -365.600006    
         378   3.55999994       67.7200012      -363.679993    
         379 -0.360000014       66.1999969      -357.040009    
         380  -5.03999996       70.6399994      -357.359985    
         381  -3.92000008       77.1999969      -361.279999    
         382   3.83999991       70.8799973      -362.320007    
         383   9.03999996       70.0000000      -360.239990    
         384   8.11999989       64.1999969      -357.279999    
         385   4.36000013       58.6800003      -346.239990    
         386   4.00000000       58.0000000      -349.760010    
         387   1.24000001       54.3600006      -355.040009    
         388   10.6400003       57.6800003      -354.079987    
         389   7.59999990       58.5600014      -358.160004    
         390   3.16000009       59.7200012      -358.000000    
         391   4.11999989       54.2799988      -351.920013    
         392  -2.24000001       59.1199989      -353.760010    
         393  -6.84000015       61.6399994      -353.920013    
         394  -5.59999990       61.2000008      -352.559998    
         395  -2.79999995       66.0000000      -360.320007    
         396  -3.24000001       63.6399994      -364.799988    
         397  -4.88000011       61.6800003      -364.000000    
         398  -3.88000011       62.5999985      -357.359985    
         399  -1.96000004       61.3199997      -357.359985    
         400  0.639999986       63.5999985      -362.079987    
         401  -2.59999990       62.5200005      -369.200012    
         402  -5.07999992       62.9199982      -366.559998    
         403  -12.6800003       66.8399963      -365.920013    
         404  -8.80000019       64.3199997      -359.600006    
         405  -8.11999989       64.0400009      -365.920013    
         406  -4.07999992       66.1600037      -368.079987    
         407  -3.40000010       70.6800003      -368.079987    
         408  -4.84000015       64.9199982      -365.040009    
         409   2.83999991       62.2000008      -364.480011    
         410  0.959999979       69.1999969      -367.279999    
         411   1.24000001       68.7600021      -363.040009    
         412  -5.55999994       71.3199997      -367.040009    
         413  0.400000006       72.6399994      -358.959991    
         414   1.39999998       71.4800034      -363.119995    
         415   5.36000013       67.1200027      -358.720001    
         416   8.27999973       72.6800003      -362.640015    
         417   10.5200005       71.8799973      -363.359985    
         418   12.3999996       74.2399979      -364.239990    
         419   8.92000008       72.2799988      -367.519989    
         420   13.7200003       71.4800034      -364.640015    
         421   13.9200001       69.6800003      -359.279999    
         422   14.1199999       73.0000000      -355.279999    
         423   11.8000002       72.2799988      -353.760010    
         424   12.7600002       74.1200027      -363.440002    
         425   10.8400002       66.4400024      -359.119995    
         426   14.0799999       67.5199966      -359.600006    
         427   10.2399998       66.0800018      -360.799988    
         428   8.00000000       67.3600006      -360.480011    
         429   5.40000010       65.2399979      -360.480011    
         430   1.44000006       60.5600014      -355.119995    
         431  -2.11999989       62.5200005      -362.000000    
         432  -2.24000001       63.8400002      -356.640015    
         433 -0.439999998       66.5199966      -367.279999    
         434   3.68000007       73.8399963      -369.119995    
         435  0.479999989       75.5199966      -369.040009    
         436  -3.03999996       79.4400024      -364.480011    
         437  -4.96000004       84.9599991      -367.519989    
         438  -5.07999992       79.8799973      -366.880005    
         439  -4.28000021       77.4000015      -367.679993    
         440   2.79999995       74.8799973      -365.760010    
         441  0.680000007       72.7600021      -372.399994    
         442  0.319999993       74.0000000      -370.320007    
         443  -2.72000003       72.0000000      -363.600006    
         444  -11.7600002       69.4400024      -367.519989    
         445  -14.7600002       72.7600021      -366.959991    
         446  -13.9200001       73.1200027      -368.959991    
         447  -16.2399998       74.8799973      -359.119995    
         448  -12.5600004       76.0800018      -357.359985    
         449  -7.67999983       74.4000015      -358.160004    
         450  -10.0400000       69.8000031      -353.760010    
         451  -9.39999962       71.7200012      -356.640015    
         452  -9.80000019       73.5599976      -358.880005    
         453  -10.2399998       73.8399963      -358.399994    
         454  -9.56000042       76.5199966      -361.839996    
         455 -0.759999990       74.5999985      -364.559998    
         456  -1.24000001       76.4400024      -365.279999    
         457   2.51999998       76.1999969      -368.799988    
         458   5.40000010       84.0400009      -371.359985    
         459   9.76000023       76.4800034      -358.399994    
         460   12.6800003       76.9199982      -354.320007    
         461   14.6400003       73.5999985      -359.200012    
         462   16.2000008       73.0000000      -366.160004    
         463   22.0400009       73.1600037      -357.920013    
         464   18.0000000       71.1200027      -353.200012    
         465   15.1999998       70.3199997      -363.839996    
         466   13.6400003       71.4800034      -363.200012    
         467   13.8800001       74.6800003      -364.480011    
         468   8.60000038       69.2399979      -364.160004    
         469   8.96000004       70.0000000      -360.480011    
         470   9.96000004       68.3600006      -363.440002    
         471   6.07999992       67.1999969      -363.359985    
         472   8.76000023       71.5599976      -360.079987    
         473   4.88000011       69.0400009      -364.480011    
         474   3.31999993       69.4000015      -364.160004    
         475   6.11999989       67.5599976      -361.839996    
         476   5.63999987       66.3600006      -359.679993    
         477   3.59999990       67.8399963      -360.880005    
         478   5.84000015       67.6800003      -358.480011    
         479   5.88000011       68.8399963      -355.359985    
         480   11.9200001       64.8799973      -353.760010    
         481   12.2799997       61.9599991      -359.839996    
         482   12.0799999       63.2799988      -352.320007    
         483   8.64000034       62.6399994      -349.040009    
         484   12.3599997       67.8000031      -358.320007    
         485   14.4799995       67.0400009      -365.279999    
         486   14.8400002       62.0400009      -364.799988    
         487   15.3199997       59.7200012      -362.000000    
         488   16.5599995       61.0400009      -354.239990    
         489   17.5200005       62.9599991      -363.359985    
         490   22.9599991       64.8799973      -365.440002    
         491   23.2800007       61.5999985      -359.760010    
         492   17.7999992       62.9199982      -360.880005    
         493   14.2799997       67.9599991      -365.839996    
         494   5.84000015       63.1199989      -360.399994    
         495   9.00000000       67.2399979      -361.760010    
         496   9.60000038       70.7200012      -371.839996    
         497   14.1999998       74.4400024      -367.440002    
         498   16.1599998       72.2399979      -362.480011    
         499   16.7999992       72.4800034      -358.079987    
         500   12.6000004       68.6800003      -362.000000    
