 tiempo ave_magnetization ave_absmagnetization ave_energy
           1 -0.439999998       26.5200005      -199.600006    
         181  -31.6800003       349.679993      -776.320007    
         182  -32.4399986       351.000000      -775.919983    
         183  -32.3199997       352.239990      -777.599976    
         184  -32.5600014       351.920013      -776.479980    
         185  -32.2400017       352.720001      -777.440002    
         186  -32.1599998       352.480011      -778.559998    
         187  -32.7200012       351.920013      -777.840027    
         188  -32.7999992       351.679993      -778.159973    
         189  -32.1599998       352.880005      -779.039978    
         190  -31.5599995       353.239990      -778.880005    
         191  -31.3999996       352.679993      -779.200012    
         192  -32.0800018       353.200012      -779.919983    
         193  -31.6800003       353.920013      -779.039978    
         194  -31.9599991       354.519989      -778.799988    
         195  -32.2799988       355.000000      -779.840027    
         196  -31.3600006       355.279999      -779.679993    
         197  -30.7999992       355.839996      -779.440002    
         198  -31.1200008       355.600006      -778.719971    
         199  -31.4799995       356.839996      -779.440002    
         200  -31.7600002       356.720001      -779.840027    
         201  -31.2800007       356.959991      -779.840027    
         202  -30.6399994       356.399994      -779.520020    
         203  -30.9599991       356.640015      -779.359985    
         204  -30.9599991       356.640015      -779.679993    
         205  -30.0000000       357.440002      -780.159973    
         206  -30.1599998       357.040009      -778.960022    
         207  -29.6800003       356.160004      -779.200012    
         208  -29.7600002       356.799988      -779.679993    
         209  -29.3999996       357.399994      -779.520020    
         210  -28.9599991       357.359985      -780.320007    
         211  -28.8400002       357.720001      -780.000000    
         212  -28.8400002       357.880005      -780.400024    
         213  -29.5200005       357.279999      -780.320007    
         214  -28.6399994       358.000000      -780.080017    
         215  -28.9200001       358.440002      -779.760010    
         216  -28.7600002       359.320007      -780.719971    
         217  -29.0400009       359.200012      -781.039978    
         218  -29.9200001       359.359985      -780.559998    
         219  -29.5200005       360.320007      -782.000000    
         220  -28.8400002       360.440002      -779.679993    
         221  -28.5599995       359.519989      -780.479980    
         222  -29.2399998       358.359985      -780.320007    
         223  -28.1599998       359.920013      -780.320007    
         224  -27.3999996       360.040009      -779.200012    
         225  -27.1200008       360.000000      -780.719971    
         226  -27.1200008       359.519989      -779.919983    
         227  -27.0799999       359.720001      -781.359985    
         228  -26.8400002       360.040009      -781.760010    
         229  -27.0799999       359.559998      -781.520020    
         230  -26.2000008       360.279999      -779.919983    
         231  -25.9200001       360.720001      -781.200012    
         232  -25.4799995       361.239990      -780.719971    
         233  -25.0000000       362.200012      -781.039978    
         234  -25.2000008       361.200012      -780.640015    
         235  -24.8799992       361.040009      -780.159973    
         236  -24.5200005       361.880005      -780.640015    
         237  -24.1200008       362.920013      -781.599976    
         238  -24.7999992       361.679993      -780.640015    
         239  -24.2399998       363.200012      -782.479980    
         240  -22.9599991       364.399994      -781.520020    
         241  -22.3999996       364.160004      -780.880005    
         242  -21.9599991       365.079987      -780.880005    
         243  -21.7600002       365.920013      -782.559998    
         244  -21.6000004       366.320007      -783.280029    
         245  -21.1599998       366.600006      -784.320007    
         246  -21.6399994       366.279999      -782.880005    
         247  -22.0000000       365.359985      -781.440002    
         248  -21.2800007       366.239990      -783.840027    
         249  -21.4400005       365.519989      -784.239990    
         250  -21.2399998       365.079987      -782.880005    
         251  -21.4400005       365.119995      -784.000000    
         252  -20.8799992       365.440002      -783.919983    
         253  -21.6000004       365.279999      -783.119995    
         254  -22.3199997       365.519989      -783.440002    
         255  -21.2000008       365.679993      -783.280029    
         256  -20.2000008       366.519989      -782.719971    
         257  -20.1200008       365.799988      -783.599976    
         258  -20.3199997       365.119995      -782.880005    
         259  -20.5200005       365.799988      -783.440002    
         260  -21.2399998       366.200012      -783.760010    
         261  -21.8799992       365.559998      -782.159973    
         262  -21.7199993       365.480011      -781.679993    
         263  -22.3199997       365.359985      -784.320007    
         264  -22.5599995       365.200012      -784.000000    
         265  -22.6000004       365.640015      -783.039978    
         266  -21.6399994       365.640015      -782.559998    
         267  -21.9599991       366.279999      -783.679993    
         268  -22.0799999       365.519989      -782.799988    
         269  -22.0000000       365.839996      -783.599976    
         270  -21.8799992       365.559998      -783.840027    
         271  -21.8400002       365.760010      -783.760010    
         272  -20.8400002       366.119995      -784.000000    
         273  -20.1599998       366.320007      -784.559998    
         274  -19.9599991       365.959991      -782.400024    
         275  -19.3999996       366.679993      -784.479980    
         276  -19.7600002       366.239990      -784.799988    
         277  -19.4400005       366.160004      -784.320007    
         278  -19.2000008       366.239990      -784.320007    
         279  -19.9599991       366.200012      -784.239990    
         280  -19.9200001       367.119995      -785.520020    
         281  -20.5599995       366.880005      -785.599976    
         282  -21.0000000       366.359985      -783.840027    
         283  -21.6000004       366.000000      -784.559998    
         284  -22.3999996       365.519989      -784.719971    
         285  -21.4799995       366.040009      -785.119995    
         286  -20.2399998       366.480011      -784.559998    
         287  -19.8799992       366.440002      -785.440002    
         288  -19.9599991       365.880005      -784.799988    
         289  -19.8400002       366.000000      -784.719971    
         290  -20.1200008       366.359985      -784.159973    
         291  -20.5200005       366.519989      -785.440002    
         292  -20.6399994       366.399994      -784.159973    
         293  -20.5599995       367.359985      -785.280029    
         294  -20.3600006       367.079987      -784.159973    
         295  -20.0000000       366.640015      -785.520020    
         296  -19.7600002       366.799988      -786.799988    
         297  -19.5599995       366.519989      -785.039978    
         298  -19.2399998       366.920013      -784.239990    
         299  -19.8799992       366.679993      -786.320007    
         300  -20.2399998       366.559998      -784.559998    
         301  -20.3199997       367.119995      -785.679993    
         302  -20.5200005       366.679993      -784.640015    
         303  -21.3199997       366.839996      -784.400024    
         304  -21.6800003       367.600006      -785.280029    
         305  -21.3999996       368.040009      -785.520020    
         306  -22.1599998       368.079987      -784.479980    
         307  -22.0400009       368.279999      -786.799988    
         308  -21.9200001       368.079987      -786.000000    
         309  -21.1200008       368.000000      -784.559998    
         310  -21.4400005       368.239990      -784.159973    
         311  -22.2399998       369.279999      -784.960022    
         312  -22.3999996       369.760010      -785.119995    
         313  -21.5200005       369.600006      -786.239990    
         314  -22.0000000       369.200012      -784.640015    
         315  -22.2800007       368.760010      -783.359985    
         316  -22.4400005       369.239990      -785.039978    
         317  -22.1599998       368.720001      -784.479980    
         318  -21.7999992       368.679993      -784.719971    
         319  -22.3199997       368.160004      -784.080017    
         320  -23.1599998       367.720001      -785.039978    
         321  -24.4400005       368.440002      -783.599976    
         322  -24.2800007       368.839996      -784.400024    
         323  -23.9599991       369.079987      -785.760010    
         324  -23.4400005       368.640015      -784.880005    
         325  -23.6800003       368.959991      -786.159973    
         326  -24.6399994       369.679993      -785.760010    
         327  -24.3999996       369.040009      -785.919983    
         328  -23.7600002       369.679993      -785.840027    
         329  -23.3999996       369.799988      -784.719971    
         330  -22.9200001       369.399994      -783.440002    
         331  -22.9599991       369.839996      -785.919983    
         332  -22.7600002       369.480011      -785.200012    
         333  -23.2000008       370.000000      -784.880005    
         334  -22.8799992       369.600006      -784.080017    
         335  -22.9200001       370.119995      -785.520020    
         336  -23.4400005       370.799988      -785.520020    
         337  -24.1599998       371.279999      -785.520020    
         338  -23.3199997       371.079987      -784.159973    
         339  -23.6399994       370.760010      -784.000000    
         340  -24.0400009       371.399994      -785.119995    
         341  -22.4400005       371.399994      -784.559998    
         342  -22.3999996       370.799988      -782.239990    
         343  -23.0799999       371.720001      -784.320007    
         344  -23.5200005       371.279999      -784.799988    
         345  -23.9599991       371.079987      -784.159973    
         346  -23.6800003       370.799988      -784.080017    
         347  -23.2399998       370.600006      -784.080017    
         348  -22.9599991       370.959991      -784.320007    
         349  -22.2800007       370.359985      -785.039978    
         350  -23.1200008       370.079987      -782.640015    
         351  -23.9200001       370.399994      -783.679993    
         352  -23.7600002       370.399994      -784.159973    
         353  -22.4799995       370.079987      -784.719971    
         354  -22.4799995       369.200012      -785.200012    
         355  -23.4400005       368.559998      -785.359985    
         356  -23.9599991       368.600006      -785.440002    
         357  -23.8799992       368.359985      -784.159973    
         358  -24.0799999       368.880005      -784.000000    
         359  -24.4400005       368.839996      -785.440002    
         360  -24.7999992       368.880005      -784.880005    
         361  -24.2800007       368.679993      -785.520020    
         362  -23.5200005       368.000000      -784.799988    
         363  -23.6800003       367.440002      -785.200012    
         364  -23.0400009       366.799988      -785.039978    
         365  -23.0000000       366.440002      -783.760010    
         366  -23.0000000       367.640015      -784.880005    
         367  -22.9599991       367.519989      -786.159973    
         368  -22.7999992       367.519989      -785.280029    
         369  -22.2800007       367.720001      -785.200012    
         370  -23.1599998       367.000000      -785.520020    
         371  -23.2000008       367.200012      -785.520020    
         372  -23.1599998       367.320007      -786.000000    
         373  -22.9200001       366.760010      -786.640015    
         374  -23.4799995       367.079987      -784.719971    
         375  -23.9599991       367.160004      -785.760010    
         376  -23.5599995       367.160004      -785.440002    
         377  -23.0400009       366.640015      -783.840027    
         378  -23.0000000       366.440002      -783.919983    
         379  -23.8799992       366.519989      -785.599976    
         380  -23.0000000       367.000000      -785.359985    
         381  -22.7199993       366.160004      -785.520020    
         382  -23.3199997       365.959991      -784.960022    
         383  -22.7600002       365.640015      -784.880005    
         384  -23.3600006       366.000000      -785.200012    
         385  -23.7600002       365.440002      -784.960022    
         386  -23.7199993       365.640015      -784.159973    
         387  -23.8799992       365.160004      -783.919983    
         388  -23.6800003       365.440002      -784.479980    
         389  -23.9200001       364.880005      -784.239990    
         390  -22.9599991       365.839996      -785.760010    
         391  -23.2000008       365.920013      -785.280029    
         392  -22.7199993       366.239990      -785.679993    
         393  -22.3199997       366.480011      -785.200012    
         394  -21.9599991       367.640015      -785.440002    
         395  -20.8799992       368.720001      -785.280029    
         396  -19.3999996       368.519989      -784.880005    
         397  -19.6000004       367.519989      -783.200012    
         398  -19.3199997       367.880005      -784.080017    
         399  -19.6000004       368.320007      -785.280029    
         400  -20.3199997       367.359985      -785.520020    
         401  -19.6000004       367.359985      -784.400024    
         402  -20.1599998       367.200012      -784.960022    
         403  -20.5200005       367.160004      -785.520020    
         404  -20.2399998       367.200012      -785.280029    
         405  -19.7999992       366.519989      -784.799988    
         406  -19.3999996       366.679993      -783.760010    
         407  -19.3600006       367.359985      -783.679993    
         408  -18.9200001       366.440002      -784.080017    
         409  -18.9599991       367.760010      -784.479980    
         410  -18.3999996       367.040009      -783.039978    
         411  -17.9599991       368.040009      -784.559998    
         412  -18.3600006       367.399994      -784.320007    
         413  -18.4400005       367.480011      -783.599976    
         414  -18.5599995       368.399994      -784.479980    
         415  -18.0400009       368.679993      -786.080017    
         416  -18.4799995       368.399994      -785.840027    
         417  -18.1599998       368.559998      -785.919983    
         418  -17.8799992       368.119995      -784.320007    
         419  -17.7199993       368.679993      -785.359985    
         420  -18.7199993       368.880005      -785.599976    
         421  -18.8799992       369.119995      -785.359985    
         422  -18.5599995       369.440002      -785.919983    
         423  -17.3199997       369.640015      -785.039978    
         424  -16.6000004       369.959991      -785.760010    
         425  -15.6800003       369.279999      -783.440002    
         426  -15.0400000       369.679993      -785.200012    
         427  -14.9600000       370.160004      -785.760010    
         428  -15.1199999       370.079987      -785.919983    
         429  -14.6000004       370.119995      -786.159973    
         430  -15.0799999       370.440002      -785.840027    
         431  -14.6000004       370.760010      -785.679993    
         432  -14.6000004       371.160004      -786.479980    
         433  -14.4399996       370.839996      -784.239990    
         434  -14.2399998       370.720001      -784.880005    
         435  -13.3999996       371.720001      -786.239990    
         436  -12.7600002       371.720001      -786.239990    
         437  -13.0000000       371.720001      -785.840027    
         438  -11.8400002       371.839996      -785.919983    
         439  -11.5200005       372.799988      -786.479980    
         440  -11.4799995       372.760010      -787.119995    
         441  -11.1199999       372.160004      -785.760010    
         442  -10.8800001       373.040009      -786.159973    
         443  -11.1999998       373.839996      -786.239990    
         444  -11.6400003       374.200012      -786.960022    
         445  -10.9200001       373.559998      -786.880005    
         446  -11.8400002       373.760010      -786.799988    
         447  -11.4799995       374.679993      -787.679993    
         448  -11.2399998       375.559998      -788.080017    
         449  -11.1999998       375.760010      -787.760010    
         450  -10.6800003       375.079987      -787.200012    
         451  -9.80000019       375.399994      -788.159973    
         452  -10.3199997       376.000000      -787.520020    
         453  -10.2399998       376.320007      -788.080017    
         454  -10.5600004       376.320007      -787.200012    
         455  -10.3999996       376.320007      -787.200012    
         456  -10.1999998       376.359985      -787.599976    
         457  -9.88000011       376.600006      -787.760010    
         458  -10.4399996       377.160004      -788.719971    
         459  -10.3599997       377.160004      -788.320007    
         460  -10.0400000       377.640015      -789.119995    
         461  -10.1199999       377.399994      -787.840027    
         462  -10.1199999       377.480011      -788.400024    
         463  -11.0000000       378.119995      -788.159973    
         464  -10.8000002       377.679993      -787.440002    
         465  -10.7600002       377.160004      -786.960022    
         466  -10.8400002       377.239990      -786.559998    
         467  -10.1599998       377.279999      -788.559998    
         468  -10.0799999       377.359985      -788.239990    
         469  -9.35999966       377.119995      -786.880005    
         470  -9.68000031       376.559998      -786.880005    
         471  -9.92000008       377.119995      -787.520020    
         472  -10.0799999       377.040009      -788.159973    
         473  -10.0799999       376.640015      -787.280029    
         474  -9.96000004       376.760010      -787.280029    
         475  -10.3599997       376.200012      -787.359985    
         476  -10.8400002       376.440002      -786.719971    
         477  -10.2399998       376.320007      -786.960022    
         478  -9.76000023       376.640015      -786.559998    
         479  -9.88000011       376.920013      -788.000000    
         480  -9.15999985       377.079987      -787.039978    
         481  -9.43999958       375.679993      -785.599976    
         482  -9.03999996       375.920013      -785.919983    
         483  -9.39999962       376.200012      -788.159973    
         484  -9.72000027       376.519989      -787.919983    
         485  -9.03999996       376.799988      -786.960022    
         486  -8.76000023       377.079987      -786.479980    
         487  -8.76000023       377.320007      -787.039978    
         488  -8.60000038       377.880005      -787.520020    
         489  -9.07999992       377.720001      -787.520020    
         490  -8.03999996       378.279999      -787.520020    
         491  -8.31999969       378.239990      -788.159973    
         492  -8.03999996       378.279999      -788.000000    
         493  -7.19999981       378.079987      -786.080017    
         494  -6.88000011       378.239990      -786.479980    
         495  -7.51999998       377.839996      -787.119995    
         496  -6.84000015       378.760010      -787.359985    
         497  -5.55999994       379.559998      -787.919983    
         498  -5.67999983       379.600006      -787.280029    
         499  -6.44000006       380.440002      -787.760010    
         500  -5.32000017       380.119995      -787.119995    
         501  -4.96000004       380.160004      -786.559998    
         502  -5.71999979       380.279999      -787.200012    
         503  -5.40000010       379.880005      -787.039978    
         504  -5.32000017       380.440002      -787.599976    
         505  -4.71999979       380.160004      -787.280029    
         506  -4.71999979       380.480011      -788.000000    
         507  -5.32000017       380.679993      -788.239990    
         508  -5.28000021       380.880005      -787.840027    
         509  -5.36000013       381.200012      -787.679993    
         510  -4.88000011       381.359985      -787.919983    
         511  -4.51999998       381.320007      -788.239990    
         512  -4.44000006       381.880005      -788.799988    
         513  -4.40000010       383.279999      -789.119995    
         514  -4.59999990       384.040009      -790.640015    
         515  -3.83999991       384.480011      -791.200012    
         516  -3.92000008       384.000000      -790.559998    
         517  -3.79999995       383.959991      -789.840027    
         518  -3.16000009       383.480011      -789.280029    
         519  -3.35999990       384.320007      -791.280029    
         520  -2.88000011       384.000000      -790.239990    
         521  -3.44000006       384.000000      -790.159973    
         522  -3.68000007       384.320007      -788.960022    
         523  -4.19999981       384.359985      -789.599976    
         524  -4.15999985       384.079987      -790.799988    
         525  -4.44000006       384.200012      -790.799988    
         526  -3.72000003       384.600006      -791.039978    
         527  -3.64000010       384.839996      -791.840027    
         528  -3.31999993       384.920013      -791.679993    
         529  -3.11999989       384.480011      -789.760010    
         530  -2.79999995       384.880005      -790.239990    
         531  -3.11999989       386.000000      -791.359985    
         532  -3.00000000       386.200012      -792.080017    
         533  -3.24000001       386.279999      -791.119995    
         534  -3.64000010       386.279999      -789.760010    
         535  -4.00000000       386.959991      -791.200012    
         536  -4.51999998       387.640015      -791.039978    
         537  -4.96000004       387.600006      -790.080017    
         538  -4.59999990       387.880005      -791.119995    
         539  -5.44000006       388.239990      -791.039978    
         540  -5.84000015       388.399994      -790.719971    
         541  -5.67999983       388.480011      -791.359985    
         542  -6.28000021       388.920013      -791.679993    
         543  -6.32000017       388.959991      -792.159973    
         544  -6.71999979       388.959991      -791.119995    
         545  -7.00000000       389.480011      -791.760010    
         546  -6.71999979       389.200012      -791.520020    
         547  -6.63999987       389.200012      -791.760010    
         548  -6.55999994       388.880005      -790.960022    
         549  -6.63999987       389.040009      -790.239990    
         550  -7.03999996       389.679993      -791.520020    
         551  -7.07999992       390.119995      -792.960022    
         552  -7.00000000       390.200012      -792.320007    
         553  -7.11999989       389.920013      -791.760010    
         554  -7.23999977       390.279999      -791.440002    
         555  -7.92000008       390.559998      -791.840027    
         556  -8.15999985       391.440002      -792.799988    
         557  -7.59999990       390.559998      -791.280029    
         558  -8.15999985       391.040009      -792.239990    
         559  -7.76000023       390.959991      -792.400024    
         560  -7.67999983       390.720001      -792.799988    
         561  -7.36000013       390.320007      -791.280029    
         562  -8.00000000       390.880005      -791.679993    
         563  -7.76000023       390.559998      -791.599976    
         564  -8.15999985       391.119995      -792.640015    
         565  -8.43999958       391.320007      -792.960022    
         566  -7.92000008       390.720001      -791.440002    
         567  -8.52000046       391.239990      -792.640015    
         568  -8.35999966       391.079987      -791.840027    
         569  -8.60000038       390.839996      -791.039978    
         570  -8.60000038       391.000000      -791.840027    
         571  -8.07999992       390.799988      -791.039978    
         572  -8.92000008       391.640015      -792.559998    
         573  -8.56000042       391.760010      -792.159973    
         574  -9.03999996       392.640015      -792.960022    
         575  -9.07999992       392.359985      -792.080017    
         576  -8.88000011       392.000000      -792.239990    
         577  -9.03999996       392.079987      -791.440002    
         578  -9.27999973       392.000000      -792.000000    
         579  -9.27999973       392.399994      -792.000000    
         580  -8.88000011       392.320007      -792.559998    
         581  -8.88000011       391.679993      -792.559998    
         582  -9.31999969       392.679993      -793.440002    
         583  -9.35999966       392.880005      -794.080017    
         584  -9.35999966       392.640015      -793.440002    
         585  -9.52000046       392.480011      -792.640015    
         586  -9.15999985       392.679993      -793.440002    
         587  -8.96000004       392.559998      -794.080017    
         588  -9.23999977       392.600006      -794.000000    
         589  -9.52000046       392.880005      -793.520020    
         590  -9.96000004       392.839996      -792.559998    
         591  -9.72000027       392.760010      -792.719971    
         592  -10.0000000       393.200012      -793.359985    
         593  -10.5600004       393.519989      -793.599976    
         594  -10.5200005       393.559998      -794.000000    
         595  -10.6000004       393.880005      -794.400024    
         596  -10.9200001       393.880005      -794.239990    
         597  -10.8000002       393.519989      -793.280029    
         598  -10.8800001       393.440002      -793.679993    
         599  -11.0799999       393.799988      -794.080017    
         600  -10.7200003       394.000000      -794.640015    
         601  -10.8000002       393.600006      -793.760010    
         602  -11.1199999       393.920013      -793.520020    
         603  -11.1999998       394.079987      -794.400024    
         604  -11.5600004       394.440002      -794.400024    
         605  -11.5200005       394.160004      -793.119995    
         606  -11.0400000       394.160004      -794.559998    
         607  -11.1999998       393.760010      -792.719971    
         608  -11.4799995       394.119995      -793.919983    
         609  -11.3599997       394.079987      -793.440002    
         610  -11.2399998       394.040009      -793.359985    
         611  -11.3599997       394.079987      -793.119995    
         612  -11.2799997       394.239990      -793.440002    
