 B-Field, AverEnergy, AverEnergy^2, C_v
  0.159999996     ,  -2.0736815250241669      ,   4.3001575527909806      ,   9.7092360401562772E-005
  0.149999991     ,  -2.0679081181747927      ,   4.2762464151067912      ,   1.0799528458748106E-004
  0.140000001     ,  -2.0619620440641042      ,   4.2516901622652705      ,   1.3730123857539386E-004
  0.129999995     ,  -2.0559812992811226      ,   4.2270618513505553      ,   1.6262467384036016E-004
  0.119999997     ,  -2.0500198522972837      ,   4.2025840123419762      ,   1.8177288270882646E-004
  0.109999999     ,  -2.0440127153283405      ,   4.1779907414845274      ,   2.2818681113787186E-004
   9.99999940E-02 ,  -2.0380995636653876      ,   4.1538524411129343      ,   2.6097004881671469E-004
   8.99999961E-02 ,  -2.0322138165518639      ,   4.1298953965474725      ,   2.9634116264278811E-004
   7.99999982E-02 ,  -2.0265766546545114      ,   4.1070150702347226      ,   3.3328813306421345E-004
   7.00000003E-02 ,  -2.0211904404829135      ,   4.0852127177869280      ,   3.9205865942454788E-004
   5.99999987E-02 ,  -2.0160795346653497      ,   4.0645782674646576      ,   4.3815792003692056E-004
   4.99999970E-02 ,  -2.0115595011405447      ,   4.0463728228289559      ,   4.7848017290818971E-004
   3.99999991E-02 ,  -2.0075814927697269      ,   4.0303843008416438      ,   5.3170632452470556E-004
   2.99999993E-02 ,  -2.0043683427966918      ,   4.0174929638606631      ,   5.6695022918980438E-004
   1.99999996E-02 ,  -2.0019714681198564      ,   4.0078899995901516      ,   6.0106044585950258E-004
   9.99999978E-03 ,  -2.0004985000711177      ,   4.0019943087839946      ,   5.9997202761508106E-004
   0.00000000     ,  -2.0000000000000000      ,   4.0000000000000000      ,                       NaN
  -9.99999978E-03 ,  -2.0004988450748957      ,   4.0019956910325938      ,   6.1886602509275690E-004
  -1.99999996E-02 ,  -2.0019743581171019      ,   4.0079015672156366      ,   5.9164313670478919E-004
  -2.99999993E-02 ,  -2.0043667977920219      ,   4.0174867768341507      ,   5.7415911988577262E-004
  -3.99999991E-02 ,  -2.0075983127536774      ,   4.0304518591389566      ,   5.4610471533766969E-004
  -4.99999970E-02 ,  -2.0115581761386458      ,   4.0463675380181359      ,   4.9681127374446730E-004
  -5.99999987E-02 ,  -2.0161323346149982      ,   4.0647911167170854      ,   4.2389923906324418E-004
  -7.00000003E-02 ,  -2.0211615654612882      ,   4.0850960426935519      ,   4.0183584592148869E-004
  -7.99999982E-02 ,  -2.0265407346887687      ,   4.1068695880071893      ,   3.4978973356691867E-004
  -8.99999961E-02 ,  -2.0321829465404151      ,   4.1297699855578243      ,   3.0337634378972597E-004
  -9.99999940E-02 ,  -2.0380551637077353      ,   4.1536715124886525      ,   2.6621734976799247E-004
 -0.109999999     ,  -2.0440567703340720      ,   4.1781708561255915      ,   2.2940304603308323E-004
 -0.119999997     ,  -2.0500335322842460      ,   4.2026402510908873      ,   1.9219455592466852E-004
 -0.129999995     ,  -2.0560084693050338      ,   4.2271735657620724      ,   1.6212474377927985E-004
 -0.140000001     ,  -2.0619672240635705      ,   4.2517115246524222      ,   1.3732347040648608E-004
 -0.149999991     ,  -2.0678599681441754      ,   4.2760473794136633      ,   1.1251381205702038E-004
 -0.159999996     ,  -2.0736863250231656      ,   4.3001773682101403      ,   9.3500861636508503E-005
 -0.170000002     ,  -2.0794522556571979      ,   4.3241239547253771      ,   7.8587107527069129E-005
 -0.179999992     ,  -2.0852003955678819      ,   4.3480627228111457      ,   6.2751077037956319E-005
 -0.189999998     ,  -2.0908083423478838      ,   4.3714814906721182      ,   5.4466497838709957E-005
 -0.199999988     ,  -2.0964287059097479      ,   4.3950150170916427      ,   4.2453240269958858E-005
 -0.199999988     ,  -2.0963854059252260      ,   4.3948335422146716      ,   4.4300970062379050E-005
 -0.189999998     ,  -2.0908033073463659      ,   4.3714604176158582      ,   5.3950285771544751E-005
 -0.179999992     ,  -2.0852366655573156      ,   4.3482140203614330      ,   6.3857316253481636E-005
 -0.170000002     ,  -2.0795144756851247      ,   4.3243828317172968      ,   8.2253742182628628E-005
 -0.159999996     ,  -2.0737040850194588      ,   4.3002511714560399      ,   9.9188658155002773E-005
 -0.149999991     ,  -2.0679373681933906      ,   4.2763674954488620      ,   1.1274127083058793E-004
 -0.140000001     ,  -2.0619013540703026      ,   4.2514399471203452      ,   1.4046956239366834E-004
 -0.129999995     ,  -2.0560324543261572      ,   4.2272721835928575      ,   1.6155920360744834E-004
 -0.119999997     ,  -2.0500379722800095      ,   4.2026585565448951      ,   1.9921913352599554E-004
 -0.109999999     ,  -2.0440441753324423      ,   4.1781193157423511      ,   2.2520923075907684E-004
  -9.99999940E-02 ,  -2.0381226636433607      ,   4.1539467182962291      ,   2.7262401452313292E-004
  -8.99999961E-02 ,  -2.0322474765643479      ,   4.1300322597898180      ,   3.0293677799607486E-004
  -7.99999982E-02 ,  -2.0265495346803744      ,   4.1069052500527459      ,   3.4899054757175918E-004
  -7.00000003E-02 ,  -2.0212132254999933      ,   4.0853048975843693      ,   4.0707108188766533E-004
  -5.99999987E-02 ,  -2.0160963946492738      ,   4.0646462360683406      ,   4.3431967943785565E-004
  -4.99999970E-02 ,  -2.0115541011328228      ,   4.0463511258721203      ,   4.8963524877089341E-004
