 Temperature,Magnetization,Magnetization^2,Suceptibility,Cumulant,Average
   2.90816331     ,   5.6458251953124998E-003 ,   8.1057815849781031E-004 ,   2.6776447223796009E-004 ,   7.9618653955403351E-002 ,           1
   2.82448983     ,   6.8815429687500004E-003 ,   1.0604566931724548E-003 ,   3.5868460622920709E-004 ,  -7.8073597322774413E-002 ,           1
   2.74081635     ,   8.8029174804687502E-003 ,   1.1432775869965554E-003 ,   3.8885723554415622E-004 ,  0.13157071529006659      ,           1
   2.65714288     ,   7.4004272460937498E-003 ,   1.9353504315018654E-003 ,   7.0774670493028774E-004 , -0.16118301309098482      ,           1
   2.57346940     ,   1.3189477539062499E-002 ,   1.7587855637073518E-003 ,   6.1583141103530698E-004 ,  -2.4542200476523668E-002 ,           1
   2.48979592     ,   7.7133789062500005E-004 ,   5.5988797336816790E-003 ,   2.2484914136945327E-003 ,  0.25902522116125271      ,           1
   2.40612245     ,   8.5494323730468752E-002 ,   1.1335247714817524E-002 ,   1.6732183594075161E-003 ,  0.34743659851081055      ,           1
   2.32244897     ,   7.9039184570312504E-002 ,   1.9338909241557123E-002 ,   5.6370307903869012E-003 ,  0.22343842004372350      ,           1
   2.23877549     ,  0.69906837158203128      ,  0.49045484700351955      ,   7.8536629713726088E-004 ,  0.66179404500311512      ,           1
   2.15510225     ,  0.83098270263671870      ,  0.69059833173006768      ,   3.0661954536632465E-005 ,  0.66624431833994135      ,           1
   2.07142854     ,  0.88435552978515630      ,  0.78195248352438207      ,  -6.3830124125624821E-005 ,  0.66659322891772144      ,           1
   1.98775530     ,  0.91427021484375004      ,  0.83568121393918993      ,  -1.0504904817667160E-004 ,  0.66669999675414804      ,           1
   1.90408158     ,  0.93758018798828124      ,  0.87881392509788270      ,  -1.2745451621345069E-004 ,  0.66673486337698018      ,           1
   1.82040811     ,  0.95411099853515624      ,  0.91006886145025490      ,  -1.4224067425890646E-004 ,  0.66674602480549128      ,           1
   1.73673487     ,  0.96603001708984371      ,  0.93294224386066193      ,  -1.5647182108339709E-004 ,  0.66675502462584291      ,           1
   1.65306115     ,  0.97530202636718755      ,  0.95093454716801640      ,  -1.6907750446578572E-004 ,  0.66675853631400850      ,           1
