 Temperature, Energy,Energy^2,C_v,Average
   3.24285722     , -0.73278903808593754      ,  0.53702223543524741      ,   4.0377136757517316E-006 ,           1
   3.15918374     , -0.75858894042968750      ,  0.57550485809445384      ,   4.7770984325022979E-006 ,           1
   3.07551026     , -0.78781806640624996      ,  0.62068360792398458      ,   2.7807194333019084E-006 ,           1
   2.99183679     , -0.82099384765625005      ,  0.67405918933153153      ,   3.1606706792445445E-006 ,           1
   2.90816331     , -0.85822250976562497      ,  0.73657958594560624      ,   3.9858138575861991E-006 ,           1
   2.82448983     , -0.89581650390625001      ,  0.80247779808044428      ,  -1.1796055693521794E-006 ,           1
   2.74081635     , -0.94087641601562499      ,  0.88523170719146727      ,  -2.2261526223500612E-006 ,           1
   2.65714288     , -0.99035817871093745      ,  0.98079706946015355      ,  -1.7354066252223171E-006 ,           1
   2.57346940     ,  -1.0456199218750000      ,   1.0932531836748123      ,  -1.0243087160732187E-005 ,           1
   2.48979592     ,  -1.1183958984375000      ,   1.2507823704957961      ,  -4.3579255786181905E-006 ,           1
   2.40612245     ,  -1.1917044921875000      ,   1.4201010764122008      ,  -1.0108134226230722E-005 ,           1
   2.32244897     ,  -1.3062656738281251      ,   1.7063140929102898      ,  -2.9511293623785920E-006 ,           1
   2.23877549     ,  -1.4817255371093749      ,   2.1953540570259094      ,  -3.1226391950493175E-005 ,           1
   2.15510225     ,  -1.6036864990234374      ,   2.5713811280190946      ,  -9.2423786633987216E-005 ,           1
   2.07142854     ,  -1.6898697753906251      ,   2.8550441549301149      ,  -1.4349318429937694E-004 ,           1
   1.98775530     ,  -1.7528285888671875      ,   3.0716482391893862      ,  -1.9230315314897755E-004 ,           1
   1.90408158     ,  -1.8072521240234376      ,   3.2652982368886470      ,  -2.3775932385020003E-004 ,           1
   1.82040811     ,  -1.8513952148437500      ,   3.4267333006501199      ,  -2.8092124087523892E-004 ,           1
   1.73673487     ,  -1.8856362060546874      ,   3.5546244070708752      ,  -3.3137016546519037E-004 ,           1
   1.65306115     ,  -1.9139687988281251      ,   3.6622291947364807      ,  -3.8328470606137230E-004 ,           1
   1.56938791     ,  -1.9365645751953124      ,   3.7491964435636995      ,  -4.4089317673361481E-004 ,           1
   1.48571444     ,  -1.9545076171875000      ,   3.8189797358274458      ,  -5.0752765573270546E-004 ,           1
   1.40204072     ,  -1.9683671386718751      ,   3.8733240499615671      ,  -5.8255687436686257E-004 ,           1
   1.31836748     ,  -1.9791416015625001      ,   3.9158388491034506      ,  -6.6891135430862628E-004 ,           1
   1.23469377     ,  -1.9865937255859376      ,   3.9453781178772451      ,  -7.7175263528950059E-004 ,           1
   1.15102053     ,  -1.9921822753906251      ,   3.9676041828036310      ,  -8.9522377935552337E-004 ,           1
   1.06734705     ,  -1.9958479248046874      ,   3.9822165980756283      ,  -1.0466202434010303E-003 ,           1
  0.983673573     ,  -1.9980684570312499      ,   3.9910815533757211      ,  -1.2360362417332149E-003 ,           1
  0.900000095     ,  -1.9994753173828126      ,   3.9967030755341053      ,  -1.4795915472452850E-003 ,           1
   5.00000000     , -0.42851774902343748      ,  0.18371609179377557      ,   3.5452228774058514E-006 ,           2
   4.91632652     , -0.43667692871093750      ,  0.19078110508322715      ,   3.9041777766490065E-006 ,           2
   4.83265305     , -0.44521057128906250      ,  0.19830621330142020      ,   4.0146595645690293E-006 ,           2
   4.74897957     , -0.45441264648437502      ,  0.20658562945127487      ,   4.2024111865543826E-006 ,           2
   4.66530609     , -0.46377397460937497      ,  0.21517284862995148      ,   3.9765121613497233E-006 ,           2
   4.58163261     , -0.47361835937500002      ,  0.22440192791223526      ,   4.1720775374437525E-006 ,           2
   4.49795914     , -0.48464145507812501      ,  0.23496045423746109      ,   4.1081328896725965E-006 ,           2
   4.41428566     , -0.49420234374999999      ,  0.24431722019910812      ,   4.1703770139829659E-006 ,           2
   4.33061218     , -0.50669277343749997      ,  0.25681396313905713      ,   4.0735663192733009E-006 ,           2
   4.24693871     , -0.51790471191406251      ,  0.26830601164698603      ,   4.4754289797194221E-006 ,           2
   4.16326523     , -0.53111936035156249      ,  0.28216190976500510      ,   4.2771461237409385E-006 ,           2
   4.07959175     , -0.54437729492187503      ,  0.29641193913221359      ,   3.9235496116194101E-006 ,           2
   3.99591827     , -0.55782480468749995      ,  0.31123504085540771      ,   4.1665074808790718E-006 ,           2
   3.91224480     , -0.57378127441406246      ,  0.32930182058215141      ,   5.0223066654824514E-006 ,           2
   3.82857132     , -0.58850979003906245      ,  0.34640760261416437      ,   4.3546068611830752E-006 ,           2
   3.74489784     , -0.60477976074218753      ,  0.36582179979681967      ,   4.5093852027852994E-006 ,           2
   3.66122437     , -0.62257236328124999      ,  0.38766252251863481      ,   4.9367516571870767E-006 ,           2
   3.57755113     , -0.64197116699218748      ,  0.41217549737095832      ,   3.7908122687654211E-006 ,           2
   3.49387765     , -0.66204123535156245      ,  0.43835273246169093      ,   4.4346978093416949E-006 ,           2
   3.41020393     , -0.68376972656250001      ,  0.46758200256824495      ,   3.5223903615369897E-006 ,           2
   3.32653046     , -0.70639990234375005      ,  0.49904398975372316      ,   3.9010017637134823E-006 ,           2
   3.24285722     , -0.73150649414062496      ,  0.53515484788417811      ,   5.0490956522322407E-006 ,           2
   3.15918374     , -0.75948229980468751      ,  0.57684557481408116      ,   3.2274220476038327E-006 ,           2
   3.07551026     , -0.78958068847656249      ,  0.62345932666659354      ,   2.2902624770140159E-006 ,           2
   2.99183679     , -0.82060986328124996      ,  0.67343254580497747      ,   3.5747709866763525E-006 ,           2
   2.90816331     , -0.85624526367187503      ,  0.73318435938358306      ,   3.3589255147228140E-006 ,           2
   2.82448983     , -0.89565549316406246      ,  0.80218135887980457      ,  -2.1815135688454815E-006 ,           2
   2.74081635     , -0.93940922851562503      ,  0.88246730829477316      ,  -2.9805784584271150E-006 ,           2
   2.65714288     , -0.98834956054687495      ,  0.97683121787309646      ,  -5.1497872432266772E-007 ,           2
   2.57346940     ,  -1.0484626220703126      ,   1.0992291272580623      ,  -6.7559033675415988E-006 ,           2
   2.48979592     ,  -1.1185485107421875      ,   1.2511070629537107      ,  -7.0507079737978137E-006 ,           2
   2.40612245     ,  -1.1976322753906250      ,   1.4342922911286353      ,  -5.3158866872794471E-006 ,           2
   2.32244897     ,  -1.3119568603515626      ,   1.7215180028736592      ,   5.3246519627507226E-005 ,           2
   2.23877549     ,  -1.4828693115234375      ,   2.1987388925850393      ,  -3.2421930301143778E-005 ,           2
   2.15510225     ,  -1.6019774414062500      ,   2.5659312705516815      ,  -8.6221371035164710E-005 ,           2
   2.07142854     ,  -1.6875722900390624      ,   2.8472623600065710      ,  -1.4866032559720713E-004 ,           2
   1.98775530     ,  -1.7557510498046875      ,   3.0819022200882435      ,  -1.9222875528446549E-004 ,           2
