 Tiempo,  AverEnergy,  AverEnergy^2,  C_v
        7098 , -0.31745605468749999      ,  0.10091944336891175      ,   8.8185444474227562E-004
        7099 , -0.31069335937499998      ,   9.6599864959716800E-002 ,   4.3438374996195364E-004
        7100 , -0.30822753906250000      ,   9.5134943723678589E-002 ,   8.1704929471015930E-004
        7101 , -0.30986328125000001      ,   9.6129524707794192E-002 ,   7.1419775485989309E-004
        7102 , -0.31594238281249998      ,   9.9905639886856079E-002 ,   5.3781643509871399E-004
        7103 , -0.30895996093750000      ,   9.5600098371505737E-002 ,   8.9900568127632141E-004
        7104 , -0.30759277343750002      ,   9.4676440954208380E-002 ,   3.9454177021974735E-004
        7105 , -0.31191406249999998      ,   9.7415268421173096E-002 ,   7.8053772449501735E-004
        7106 , -0.30688476562500000      ,   9.4363749027252197E-002 ,   1.1593103408813477E-003
        7107 , -0.30910644531249998      ,   9.5693832635879522E-002 ,   9.1898813843740643E-004
        7108 , -0.30908203125000000      ,   9.5625436305999761E-002 ,   5.8583915233615530E-004
        7109 , -0.30761718750000000      ,   9.4712150096893308E-002 ,   5.2385032176969701E-004
        7110 , -0.30930175781250002      ,   9.5797222852706906E-002 ,   8.1028416752801022E-004
        7111 , -0.30837402343749998      ,   9.5269793272018427E-002 ,   1.0953433811664720E-003
        7112 , -0.31279296875000001      ,   9.7990512847900391E-002 ,   9.4419717788689697E-004
        7113 , -0.31096191406250001      ,   9.6822553873062128E-002 ,   7.8276172280301523E-004
        7114 , -0.31501464843749999      ,   9.9320083856582642E-002 ,   5.3659453988080807E-004
        7115 , -0.31735839843750002      ,  0.10083723664283753      ,   7.5552240014070682E-004
        7116 , -0.31831054687499999      ,  0.10142005681991577      ,   6.1532855033874859E-004
        7117 , -0.31733398437499999      ,  0.10087244510650635      ,   1.0724216699601122E-003
        7118 , -0.31608886718750001      ,  0.10010794997215271      ,   1.2236125767230502E-003
        7119 , -0.31831054687499999      ,  0.10155756473541259      ,   1.4747530221939122E-003
        7120 , -0.31640625000000000      ,  0.10035920143127441      ,   1.5392899513244629E-003
        7121 , -0.31247558593750002      ,   9.7841435670852656E-002 ,   1.2527741491793337E-003
        7122 , -0.31708984374999999      ,  0.10075027942657470      ,   1.2769401073455845E-003
        7123 , -0.31899414062499998      ,  0.10197134017944336      ,   1.3379901647568235E-003
        7124 , -0.31838378906249998      ,  0.10178938508033752      ,   2.6321746408940021E-003
        7125 , -0.31828613281250001      ,  0.10155467391014099      ,   1.5538223087786796E-003
        7126 , -0.31613769531250002      ,  0.10020573735237122      ,   1.6418434679507481E-003
        7127 , -0.32077636718750002      ,  0.10318189263343810      ,   1.7775930464266655E-003
        7128 , -0.31574707031249999      ,   9.9938052892684939E-002 ,   1.5115030109882910E-003
        7129 , -0.31931152343750002      ,  0.10208439230918884      ,   7.7839568257322828E-004
        7130 , -0.31884765625000000      ,  0.10179557800292968      ,   8.2343816757198679E-004
        7131 , -0.31806640624999999      ,  0.10125290155410767      ,   5.4164230823524132E-004
        7132 , -0.31235351562500002      ,   9.7733247280120852E-002 ,   1.0533034801482079E-003
        7133 , -0.31052246093750002      ,   9.6688431501388547E-002 ,   1.6514547169207104E-003
        7134 , -0.31618652343749998      ,  0.10020094513893127      ,   1.4189220964909086E-003
        7135 , -0.31772460937500002      ,  0.10117059946060181      ,   1.3854503631591068E-003
        7136 , -0.31882324218750002      ,  0.10178355574607849      ,   8.4559991955744651E-004
        7137 , -0.31647949218749999      ,  0.10031030774116516      ,   9.4399228692055095E-004
        7138 , -0.31567382812500000      ,   9.9808180332183832E-002 ,   9.8884105682369577E-004
        7139 , -0.31354980468749999      ,   9.8391824960708613E-002 ,   4.8965588212010122E-004
        7140 , -0.31757812499999999      ,  0.10100748538970947      ,   9.4762444496155132E-004
        7141 , -0.31291503906250001      ,   9.8055785894393926E-002 ,   8.7477639317511124E-004
        7142 , -0.31345214843750002      ,   9.8470348119735721E-002 ,   1.3631172478198450E-003
        7143 , -0.31394042968750002      ,   9.8696559667587280E-002 ,   8.6228922009457323E-004
