 Tiempo,InterPos2,InterNeg2,InterPN2,InterZero,InterPN,InterNZ
         166 ,                18747 ,                19012 ,                27776 ,                    0 ,                    0 ,                    0
         167 ,                18774 ,                19039 ,                27722 ,                    0 ,                    0 ,                    0
         168 ,                18779 ,                19044 ,                27711 ,                    0 ,                    0 ,                    0
         169 ,                18751 ,                19016 ,                27768 ,                    0 ,                    0 ,                    0
         170 ,                18798 ,                19063 ,                27674 ,                    0 ,                    0 ,                    0
         171 ,                18758 ,                19023 ,                27753 ,                    0 ,                    0 ,                    0
         172 ,                18766 ,                19031 ,                27738 ,                    0 ,                    0 ,                    0
         173 ,                18795 ,                19060 ,                27680 ,                    0 ,                    0 ,                    0
         174 ,                18760 ,                19025 ,                27749 ,                    0 ,                    0 ,                    0
         175 ,                18751 ,                19016 ,                27768 ,                    0 ,                    0 ,                    0
         176 ,                18733 ,                18998 ,                27804 ,                    0 ,                    0 ,                    0
         177 ,                18768 ,                19033 ,                27734 ,                    0 ,                    0 ,                    0
         178 ,                18776 ,                19041 ,                27718 ,                    0 ,                    0 ,                    0
         179 ,                18761 ,                19026 ,                27748 ,                    0 ,                    0 ,                    0
         180 ,                18752 ,                19017 ,                27766 ,                    0 ,                    0 ,                    0
         181 ,                18740 ,                19005 ,                27790 ,                    0 ,                    0 ,                    0
         182 ,                18706 ,                18971 ,                27857 ,                    0 ,                    0 ,                    0
         183 ,                18732 ,                18997 ,                27806 ,                    0 ,                    0 ,                    0
         184 ,                18762 ,                19027 ,                27745 ,                    0 ,                    0 ,                    0
         185 ,                18703 ,                18968 ,                27864 ,                    0 ,                    0 ,                    0
         186 ,                18747 ,                19012 ,                27776 ,                    0 ,                    0 ,                    0
         187 ,                18740 ,                19005 ,                27789 ,                    0 ,                    0 ,                    0
         188 ,                18728 ,                18993 ,                27813 ,                    0 ,                    0 ,                    0
         189 ,                18722 ,                18987 ,                27825 ,                    0 ,                    0 ,                    0
         190 ,                18743 ,                19008 ,                27783 ,                    0 ,                    0 ,                    0
         191 ,                18725 ,                18989 ,                27821 ,                    0 ,                    0 ,                    0
         192 ,                18767 ,                19031 ,                27737 ,                    0 ,                    0 ,                    0
         193 ,                18763 ,                19028 ,                27743 ,                    0 ,                    0 ,                    0
         194 ,                18745 ,                19010 ,                27780 ,                    0 ,                    0 ,                    0
         195 ,                18737 ,                19002 ,                27795 ,                    0 ,                    0 ,                    0
         196 ,                18761 ,                19025 ,                27749 ,                    0 ,                    0 ,                    0
         197 ,                18731 ,                18996 ,                27808 ,                    0 ,                    0 ,                    0
         198 ,                18716 ,                18981 ,                27838 ,                    0 ,                    0 ,                    0
         199 ,                18716 ,                18980 ,                27839 ,                    0 ,                    0 ,                    0
         200 ,                18733 ,                18998 ,                27804 ,                    0 ,                    0 ,                    0
         201 ,                18747 ,                19012 ,                27775 ,                    0 ,                    0 ,                    0
         202 ,                18710 ,                18975 ,                27849 ,                    0 ,                    0 ,                    0
         203 ,                18676 ,                18941 ,                27918 ,                    0 ,                    0 ,                    0
         204 ,                18724 ,                18989 ,                27821 ,                    0 ,                    0 ,                    0
         205 ,                18738 ,                19003 ,                27794 ,                    0 ,                    0 ,                    0
         206 ,                18730 ,                18995 ,                27810 ,                    0 ,                    0 ,                    0
         207 ,                18737 ,                19002 ,                27795 ,                    0 ,                    0 ,                    0
         208 ,                18741 ,                19006 ,                27787 ,                    0 ,                    0 ,                    0
         209 ,                18758 ,                19023 ,                27754 ,                    0 ,                    0 ,                    0
         210 ,                18785 ,                19050 ,                27700 ,                    0 ,                    0 ,                    0
         211 ,                18785 ,                19050 ,                27699 ,                    0 ,                    0 ,                    0
         212 ,                18758 ,                19022 ,                27755 ,                    0 ,                    0 ,                    0
         213 ,                18751 ,                19016 ,                27768 ,                    0 ,                    0 ,                    0
         214 ,                18729 ,                18994 ,                27812 ,                    0 ,                    0 ,                    0
         215 ,                18734 ,                18999 ,                27802 ,                    0 ,                    0 ,                    0
         216 ,                18711 ,                18975 ,                27849 ,                    0 ,                    0 ,                    0
         217 ,                18748 ,                19013 ,                27774 ,                    0 ,                    0 ,                    0
         218 ,                18721 ,                18986 ,                27828 ,                    0 ,                    0 ,                    0
         219 ,                18733 ,                18997 ,                27805 ,                    0 ,                    0 ,                    0
         220 ,                18784 ,                19049 ,                27702 ,                    0 ,                    0 ,                    0
         221 ,                18771 ,                19036 ,                27727 ,                    0 ,                    0 ,                    0
         222 ,                18737 ,                19002 ,                27796 ,                    0 ,                    0 ,                    0
         223 ,                18746 ,                19011 ,                27777 ,                    0 ,                    0 ,                    0
         224 ,                18727 ,                18992 ,                27816 ,                    0 ,                    0 ,                    0
         225 ,                18729 ,                18994 ,                27812 ,                    0 ,                    0 ,                    0
         226 ,                18722 ,                18986 ,                27827 ,                    0 ,                    0 ,                    0
         227 ,                18746 ,                19011 ,                27777 ,                    0 ,                    0 ,                    0
         228 ,                18736 ,                19001 ,                27798 ,                    0 ,                    0 ,                    0
         229 ,                18722 ,                18986 ,                27827 ,                    0 ,                    0 ,                    0
         230 ,                18722 ,                18986 ,                27827 ,                    0 ,                    0 ,                    0
         231 ,                18716 ,                18981 ,                27837 ,                    0 ,                    0 ,                    0
         232 ,                18755 ,                19020 ,                27759 ,                    0 ,                    0 ,                    0
         233 ,                18758 ,                19022 ,                27755 ,                    0 ,                    0 ,                    0
         234 ,                18761 ,                19026 ,                27747 ,                    0 ,                    0 ,                    0
         235 ,                18766 ,                19030 ,                27739 ,                    0 ,                    0 ,                    0
         236 ,                18741 ,                19006 ,                27788 ,                    0 ,                    0 ,                    0
         237 ,                18755 ,                19020 ,                27759 ,                    0 ,                    0 ,                    0
         238 ,                18744 ,                19009 ,                27782 ,                    0 ,                    0 ,                    0
         239 ,                18761 ,                19025 ,                27749 ,                    0 ,                    0 ,                    0
         240 ,                18753 ,                19018 ,                27763 ,                    0 ,                    0 ,                    0
         241 ,                18752 ,                19017 ,                27766 ,                    0 ,                    0 ,                    0
         242 ,                18774 ,                19039 ,                27722 ,                    0 ,                    0 ,                    0
         243 ,                18770 ,                19034 ,                27731 ,                    0 ,                    0 ,                    0
         244 ,                18772 ,                19037 ,                27726 ,                    0 ,                    0 ,                    0
         245 ,                18752 ,                19016 ,                27767 ,                    0 ,                    0 ,                    0
         246 ,                18748 ,                19012 ,                27775 ,                    0 ,                    0 ,                    0
         247 ,                18719 ,                18984 ,                27832 ,                    0 ,                    0 ,                    0
         248 ,                18759 ,                19024 ,                27752 ,                    0 ,                    0 ,                    0
         249 ,                18760 ,                19025 ,                27750 ,                    0 ,                    0 ,                    0
         250 ,                18761 ,                19025 ,                27749 ,                    0 ,                    0 ,                    0
         251 ,                18780 ,                19045 ,                27709 ,                    0 ,                    0 ,                    0
         252 ,                18793 ,                19057 ,                27685 ,                    0 ,                    0 ,                    0
         253 ,                18743 ,                19008 ,                27784 ,                    0 ,                    0 ,                    0
         254 ,                18772 ,                19037 ,                27725 ,                    0 ,                    0 ,                    0
         255 ,                18787 ,                19052 ,                27696 ,                    0 ,                    0 ,                    0
         256 ,                18790 ,                19055 ,                27690 ,                    0 ,                    0 ,                    0
         257 ,                18789 ,                19054 ,                27692 ,                    0 ,                    0 ,                    0
         258 ,                18776 ,                19041 ,                27718 ,                    0 ,                    0 ,                    0
         259 ,                18750 ,                19015 ,                27770 ,                    0 ,                    0 ,                    0
         260 ,                18744 ,                19009 ,                27781 ,                    0 ,                    0 ,                    0
         261 ,                18725 ,                18990 ,                27819 ,                    0 ,                    0 ,                    0
         262 ,                18714 ,                18979 ,                27842 ,                    0 ,                    0 ,                    0
         263 ,                18719 ,                18983 ,                27833 ,                    0 ,                    0 ,                    0
         264 ,                18722 ,                18987 ,                27826 ,                    0 ,                    0 ,                    0
         265 ,                18735 ,                19000 ,                27800 ,                    0 ,                    0 ,                    0
         266 ,                18726 ,                18991 ,                27818 ,                    0 ,                    0 ,                    0
         267 ,                18748 ,                19013 ,                27773 ,                    0 ,                    0 ,                    0
         268 ,                18739 ,                19004 ,                27792 ,                    0 ,                    0 ,                    0
         269 ,                18740 ,                19005 ,                27790 ,                    0 ,                    0 ,                    0
         270 ,                18763 ,                19028 ,                27743 ,                    0 ,                    0 ,                    0
         271 ,                18793 ,                19058 ,                27684 ,                    0 ,                    0 ,                    0
         272 ,                18766 ,                19030 ,                27739 ,                    0 ,                    0 ,                    0
         273 ,                18748 ,                19012 ,                27775 ,                    0 ,                    0 ,                    0
         274 ,                18780 ,                19044 ,                27711 ,                    0 ,                    0 ,                    0
         275 ,                18761 ,                19026 ,                27748 ,                    0 ,                    0 ,                    0
         276 ,                18759 ,                19024 ,                27752 ,                    0 ,                    0 ,                    0
         277 ,                18774 ,                19039 ,                27721 ,                    0 ,                    0 ,                    0
         278 ,                18751 ,                19015 ,                27769 ,                    0 ,                    0 ,                    0
         279 ,                18784 ,                19048 ,                27703 ,                    0 ,                    0 ,                    0
         280 ,                18744 ,                19008 ,                27783 ,                    0 ,                    0 ,                    0
         281 ,                18774 ,                19039 ,                27722 ,                    0 ,                    0 ,                    0
         282 ,                18784 ,                19049 ,                27702 ,                    0 ,                    0 ,                    0
         283 ,                18756 ,                19021 ,                27758 ,                    0 ,                    0 ,                    0
         284 ,                18749 ,                19014 ,                27772 ,                    0 ,                    0 ,                    0
         285 ,                18768 ,                19033 ,                27734 ,                    0 ,                    0 ,                    0
         286 ,                18762 ,                19027 ,                27745 ,                    0 ,                    0 ,                    0
         287 ,                18728 ,                18992 ,                27815 ,                    0 ,                    0 ,                    0
         288 ,                18744 ,                19009 ,                27782 ,                    0 ,                    0 ,                    0
         289 ,                18726 ,                18990 ,                27819 ,                    0 ,                    0 ,                    0
         290 ,                18770 ,                19034 ,                27731 ,                    0 ,                    0 ,                    0
         291 ,                18778 ,                19042 ,                27715 ,                    0 ,                    0 ,                    0
         292 ,                18775 ,                19040 ,                27720 ,                    0 ,                    0 ,                    0
         293 ,                18765 ,                19030 ,                27740 ,                    0 ,                    0 ,                    0
         294 ,                18765 ,                19029 ,                27741 ,                    0 ,                    0 ,                    0
         295 ,                18777 ,                19042 ,                27716 ,                    0 ,                    0 ,                    0
         296 ,                18739 ,                19004 ,                27792 ,                    0 ,                    0 ,                    0
         297 ,                18765 ,                19030 ,                27740 ,                    0 ,                    0 ,                    0
         298 ,                18785 ,                19050 ,                27700 ,                    0 ,                    0 ,                    0
