Temperatura MagneticField Magnetization Magnetization2
0.9 0.137125 0.1511667 0.02291118
0.9 0.1396 0.1539077 0.02374763
0.9 0.142075 0.1565688 0.02457276
0.9 0.14455 0.1592534 0.02542131
0.9 0.147025 0.1619086 0.02627374
0.9 0.1495 0.1645798 0.02714624
0.9 0.151975 0.1672785 0.02804094
0.9 0.15445 0.1698704 0.02891511
0.9 0.156925 0.1726688 0.02987349
0.9 0.1594 0.1752646 0.03077694
0.9 0.161875 0.1779167 0.03171368
0.9 0.16435 0.1805902 0.03267174
0.9 0.166825 0.1832641 0.0336445
0.9 0.1693 0.1859127 0.03462273
0.9 0.171775 0.188565 0.03561586
0.9 0.17425 0.191254 0.03663691
0.9 0.176725 0.1938845 0.03764957
0.9 0.1792 0.1965491 0.03869021
0.9 0.181675 0.1991561 0.03972202
0.9 0.18415 0.2017909 0.04077833
0.9 0.186625 0.2044073 0.04184034
0.9 0.1891 0.2070102 0.04291166
0.9 0.191575 0.2097468 0.04405248
0.9 0.19405 0.2122981 0.04512924
0.9 0.196525 0.2149504 0.04626159
0.9 0.199 0.2175575 0.04738956
0.6 0.002475 0.004074143 7.786298e-05
0.6 0.00495 0.008185841 0.0001282801
0.6 0.007425 0.01237883 0.0002142256
0.6 0.0099 0.0164957 0.0003337846
0.6 0.012375 0.02063828 0.0004868735
0.6 0.01485 0.02475245 0.0006737499
0.6 0.017325 0.0288844 0.0008952086
0.6 0.0198 0.03299578 0.001149919
0.6 0.022275 0.03708172 0.001435642
0.6 0.02475 0.04122176 0.001760431
0.6 0.027225 0.04534438 0.002116889
0.6 0.0297 0.04946932 0.002508097
0.6 0.032175 0.05358303 0.002932023
0.6 0.03465 0.05770445 0.003390888
0.6 0.037125 0.06178823 0.003878829
0.6 0.0396 0.06587214 0.004399439
0.6 0.042075 0.0700255 0.004964889
0.6 0.04455 0.07405966 0.005545549
0.6 0.047025 0.07820191 0.006176276
0.6 0.0495 0.082359 0.006843929
0.6 0.051975 0.08641759 0.007528947
0.6 0.05445 0.09051857 0.008254016
0.6 0.056925 0.0946169 0.009012485
0.6 0.0594 0.09871441 0.009805202
0.6 0.061875 0.102749 0.01061787
0.6 0.06435 0.1068272 0.01147217
0.6 0.066825 0.1109341 0.01236698
0.6 0.0693 0.1149637 0.0132769
0.6 0.071775 0.1190218 0.01422649
0.6 0.07425 0.123129 0.01522058
0.6 0.076725 0.1271983 0.01623938
0.6 0.0792 0.1312049 0.0172746
0.6 0.081675 0.1352759 0.01835937
0.6 0.08415 0.1393158 0.01946889
0.6 0.086625 0.1434115 0.02062672
0.6 0.0891 0.147407 0.02178874
0.6 0.091575 0.1514477 0.02299639
0.6 0.09405 0.1554646 0.02422887
0.6 0.096525 0.1595236 0.02550704
0.6 0.099 0.1635241 0.0267995
0.6 0.102475 0.1691707 0.02867797
0.6 0.10495 0.1731344 0.03003473
0.6 0.107425 0.1771634 0.03144574
0.6 0.1099 0.1811961 0.03289103
0.6 0.112375 0.1851334 0.0343337
0.6 0.11485 0.1891388 0.03583203
0.6 0.117325 0.19309 0.037342
0.6 0.1198 0.197063 0.03889241
0.6 0.122275 0.2010167 0.04046638
0.6 0.12475 0.2050044 0.04208536
0.6 0.127225 0.2089051 0.04369909
0.6 0.1297 0.212844 0.04536046
0.6 0.132175 0.2168056 0.04706281
0.6 0.13465 0.2207435 0.04878603
0.6 0.137125 0.2246535 0.05052694
0.6 0.1396 0.2284928 0.05226681
0.6 0.142075 0.2324247 0.05407899
0.6 0.14455 0.2363238 0.05590654
0.6 0.147025 0.2402469 0.05777583
0.6 0.1495 0.2441515 0.05966743
0.6 0.151975 0.2480309 0.06157714
0.6 0.15445 0.2518868 0.06350395
0.6 0.156925 0.2557545 0.06546738
0.6 0.1594 0.2595253 0.06740997
0.6 0.161875 0.2634552 0.06946499
0.6 0.16435 0.2672116 0.07145884
0.6 0.166825 0.2710574 0.07352882
0.6 0.1693 0.2748927 0.07562196
0.6 0.171775 0.2786947 0.07772713
