 Tiempo,  AverEnergy,  AverEnergy^2,  C_v
        3068 , -0.30849999999999994      ,   9.6426666666666661E-002 ,   1.5486626751323980E-003
        3069 , -0.30633333333333329      ,   9.4881666666666656E-002 ,   1.2858711589442578E-003
        3070 , -0.30349999999999994      ,   9.3381666666666696E-002 ,   1.5671811951300304E-003
        3071 , -0.31033333333333335      ,   9.7649166666666648E-002 ,   1.6572703655626747E-003
        3072 , -0.30983333333333340      ,   9.7429583333333319E-002 ,   1.7689987695481326E-003
        3073 , -0.31258333333333338      ,   9.9788124999999991E-002 ,   2.5676356646111825E-003
        3074 , -0.30641666666666656      ,   9.5974375000000001E-002 ,   2.5718537719440953E-003
        3075 , -0.30675000000000008      ,   9.6146041666666668E-002 ,   2.5314559635047523E-003
        3076 , -0.31608333333333344      ,  0.10150479166666666      ,   1.9705162753552974E-003
        3077 , -0.31008333333333332      ,   9.7740208333333328E-002 ,   1.9611541346899420E-003
        3078 , -0.30625000000000002      ,   9.5864791666666671E-002 ,   2.5626288055007464E-003
        3079 , -0.30691666666666667      ,   9.6503958333333334E-002 ,   2.8470595552416316E-003
        3080 , -0.30175000000000007      ,   9.2681041666666658E-002 ,   2.0098509835724363E-003
        3081 , -0.30941666666666662      ,   9.7365624999999983E-002 ,   2.0085821220171365E-003
        3082 , -0.31125000000000003      ,   9.7989375000000004E-002 ,   1.3738427023216966E-003
        3083 , -0.32291666666666669      ,  0.10544354166666665      ,   1.4424298134238934E-003
        3084 , -0.32199999999999995      ,  0.10449458333333329      ,   1.0007202445367843E-003
        3085 , -0.31983333333333341      ,  0.10336666666666665      ,   1.3250686929390646E-003
        3086 , -0.32141666666666663      ,  0.10459270833333333      ,   1.5852281787387464E-003
        3087 , -0.31241666666666668      ,   9.8725208333333300E-002 ,   1.3839935947647804E-003
        3088 , -0.30866666666666664      ,   9.7001249999999983E-002 ,   2.1310358355012111E-003
        3089 , -0.31558333333333327      ,  0.10058562500000000      ,   1.2256602487854356E-003
        3090 , -0.32249999999999995      ,  0.10530208333333334      ,   1.5997943664590984E-003
        3091 , -0.32291666666666669      ,  0.10590270833333335      ,   2.0093022866836904E-003
        3092 , -0.31291666666666662      ,   9.9387708333333297E-002 ,   1.8158866333754413E-003
        3093 , -0.30691666666666667      ,   9.6285208333333303E-002 ,   2.5769978052766407E-003
        3094 , -0.31408333333333333      ,  0.10018479166666663      ,   1.8968537180315758E-003
        3095 , -0.30966666666666665      ,   9.7764166666666666E-002 ,   2.3095337921447343E-003
        3096 , -0.30666666666666664      ,   9.5767083333333350E-002 ,   2.1267148475018188E-003
        3097 , -0.30883333333333329      ,   9.7430833333333342E-002 ,   2.5343280487822618E-003
        3098 , -0.31058333333333338      ,   9.8013958333333345E-002 ,   1.9159895220291114E-003
        3099 , -0.30550000000000005      ,   9.5038333333333350E-002 ,   2.1087450243929837E-003
        3100 , -0.30658333333333332      ,   9.5556458333333330E-002 ,   1.9297755313606810E-003
        3101 , -0.30183333333333334      ,   9.2486666666666661E-002 ,   1.7077847728894716E-003
        3102 , -0.30033333333333334      ,   9.1538749999999988E-002 ,   1.6526407355632795E-003
        3103 , -0.30291666666666667      ,   9.3642708333333324E-002 ,   2.3261747399758869E-003
        3104 , -0.29566666666666663      ,   8.9123750000000002E-002 ,   2.1049041461712998E-003
        3105 , -0.29508333333333325      ,   8.9038541666666651E-002 ,   2.4251459412964181E-003
        3106 , -0.29891666666666666      ,   9.1012708333333331E-002 ,   2.0512775986782335E-003
        3107 , -0.30241666666666672      ,   9.3378958333333317E-002 ,   2.3742200113029332E-003
        3108 , -0.30649999999999999      ,   9.5860416666666642E-002 ,   2.3681071850259910E-003
        3109 , -0.29783333333333334      ,   9.0000416666666666E-002 ,   1.5996571922368347E-003
        3110 , -0.30475000000000013      ,   9.4261041666666670E-002 ,   1.7141719476107867E-003
        3111 , -0.30249999999999999      ,   9.2978333333333316E-002 ,   1.8173869764307950E-003
        3112 , -0.30525000000000002      ,   9.4576041666666680E-002 ,   1.7265176276092655E-003
        3113 , -0.30649999999999999      ,   9.5658749999999987E-002 ,   2.1191359717249820E-003
        3114 , -0.30675000000000002      ,   9.5521041666666653E-002 ,   1.7598509636049216E-003
        3115 , -0.30516666666666664      ,   9.4518333333333343E-002 ,   1.7180728395548362E-003
        3116 , -0.31266666666666665      ,   9.9177083333333346E-002 ,   1.7489370395508445E-003
        3117 , -0.30775000000000008      ,   9.6139374999999985E-002 ,   1.7645834742709158E-003
        3118 , -0.30800000000000000      ,   9.5793333333333314E-002 ,   1.1473251945177424E-003
        3119 , -0.30808333333333332      ,   9.5949791666666687E-002 ,   1.2771005821120703E-003
        3120 , -0.31008333333333327      ,   9.7094374999999983E-002 ,   1.1638289681267684E-003
        3121 , -0.31333333333333330      ,   9.9209583333333351E-002 ,   1.2738341209458507E-003
        3122 , -0.30674999999999997      ,   9.5177708333333333E-002 ,   1.3359826169933129E-003
        3123 , -0.30958333333333332      ,   9.6680624999999992E-002 ,   1.0355367768100560E-003
        3124 , -0.30491666666666667      ,   9.4129374999999987E-002 ,   1.4261746680926761E-003
        3125 , -0.30141666666666667      ,   9.1992708333333340E-002 ,   1.4082734320950327E-003
        3126 , -0.30608333333333337      ,   9.4511041666666656E-002 ,   1.0173268988123753E-003
        3127 , -0.30583333333333335      ,   9.4577499999999981E-002 ,   1.2882374142772208E-003
        3128 , -0.29933333333333334      ,   9.0725416666666656E-002 ,   1.3888547062641781E-003
        3129 , -0.30641666666666662      ,   9.5389791666666654E-002 ,   1.8501458953710383E-003
        3130 , -0.30741666666666667      ,   9.5840208333333343E-002 ,   1.6483969080638709E-003
        3131 , -0.30933333333333329      ,   9.7532500000000022E-002 ,   2.2782580694821752E-003
        3132 , -0.30833333333333335      ,   9.6939999999999971E-002 ,   2.3093280308113646E-003
        3133 , -0.30133333333333329      ,   9.2489583333333333E-002 ,   2.0837107288407359E-003
        3134 , -0.30016666666666669      ,   9.1421249999999982E-002 ,   1.6311386762327120E-003
        3135 , -0.30641666666666662      ,   9.5074791666666644E-002 ,   1.4612569754214946E-003
        3136 , -0.30641666666666667      ,   9.5237291666666654E-002 ,   1.6618742753954200E-003
        3137 , -0.30524999999999991      ,   9.4670208333333339E-002 ,   1.8427727809275879E-003
        3138 , -0.30766666666666670      ,   9.6513749999999968E-002 ,   2.2900893461471786E-003
        3139 , -0.30858333333333332      ,   9.7071458333333360E-002 ,   2.2812158886484431E-003
        3140 , -0.30058333333333331      ,   9.1781041666666674E-002 ,   1.7662981520485852E-003
        3141 , -0.30649999999999999      ,   9.4847916666666643E-002 ,   1.1181070851882116E-003
        3142 , -0.29691666666666666      ,   8.9346458333333337E-002 ,   1.4653722020876200E-003
        3143 , -0.29891666666666677      ,   9.0119374999999974E-002 ,   9.4839685215457944E-004
        3144 , -0.29274999999999990      ,   8.7064374999999999E-002 ,   1.6812501342818871E-003
        3145 , -0.30016666666666664      ,   9.1619166666666668E-002 ,   1.8754802595344117E-003
        3146 , -0.29566666666666658      ,   8.8460833333333336E-002 ,   1.2864884429442298E-003
        3147 , -0.30258333333333337      ,   9.2828125000000011E-002 ,   1.5696931980740487E-003
        3148 , -0.31008333333333332      ,   9.7100624999999982E-002 ,   1.1715450181257320E-003
        3149 , -0.29975000000000002      ,   9.1137708333333345E-002 ,   1.5896863409603679E-003
        3150 , -0.30633333333333329      ,   9.4832499999999972E-002 ,   1.2251715656187811E-003
        3151 , -0.31341666666666673      ,   9.9191041666666646E-002 ,   1.1864627147903891E-003
        3152 , -0.31041666666666667      ,   9.7071458333333333E-002 ,   8.8018697016354307E-004
        3153 , -0.30208333333333326      ,   9.2043125000000003E-002 ,   9.7380837681812504E-004
        3154 , -0.30475000000000002      ,   9.3651041666666657E-002 ,   9.6108546770857139E-004
        3155 , -0.29950000000000004      ,   9.0523750000000014E-002 ,   1.0166667478680499E-003
        3156 , -0.30300000000000005      ,   9.2589583333333308E-002 ,   9.6368320454153660E-004
        3157 , -0.29866666666666658      ,   9.0179166666666657E-002 ,   1.2066530456212345E-003
        3158 , -0.29158333333333331      ,   8.6010208333333338E-002 ,   1.2214421414526255E-003
        3159 , -0.29600000000000010      ,   8.8714999999999961E-002 ,   1.3567902318238046E-003
        3160 , -0.29616666666666674      ,   8.8891666666666674E-002 ,   1.4530522422558252E-003
        3161 , -0.30083333333333334      ,   9.1793749999999993E-002 ,   1.5963650109039312E-003
        3162 , -0.31008333333333338      ,   9.7473541666666635E-002 ,   1.6319360013992497E-003
