 Tiempo,AverMagnetization,AverMagnetization^2,Suceptibility,Cumulant
        8825 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8826 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8827 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8828 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8829 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8830 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8831 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8832 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8833 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8834 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8835 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8836 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8837 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8838 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8839 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8840 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8841 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8842 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8843 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8844 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8845 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8846 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8847 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8848 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8849 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8850 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8851 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8852 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8853 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8854 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8855 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8856 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8857 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8858 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8859 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8860 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8861 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8862 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8863 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8864 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8865 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8866 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8867 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8868 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8869 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8870 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
        8871 ,   1.1583333338300387E-002 ,   4.3031249857507681E-004 ,   3.2904322385544238E-004 ,   5.0594665116090343E-002
