 Tiempo AverEnergy AverEnergy^2 C_v
          71 -0.18366241455078125        3.3778174780309200E-002   5.7150944917962188E-005
          72 -0.18066406250000000        3.2653637230396271E-002   1.7449077186704187E-005
          73 -0.18044281005859375        3.2575593329966068E-002   1.9735344939632304E-005
          74 -0.18094635009765625        3.2759758643805981E-002   2.2440779745926120E-005
          75 -0.18186187744140625        3.3084903843700886E-002   1.3779479110222204E-005
          76 -0.18840789794921875        3.5550800152122974E-002   6.5758205844403117E-005
          77 -0.18511962890625000        3.4273019060492516E-002   4.6198202514613484E-006
          78 -0.18746948242187500        3.5176692530512810E-002   3.9365053745465950E-005
          79 -0.18255615234375000        3.3345961943268776E-002   2.3719983023307023E-005
          80 -0.18275451660156250        3.3408571034669876E-002   1.1552712526535780E-005
          81 -0.18071746826171875        3.2660231925547123E-002   1.7636922665445476E-006
          82 -0.18641662597656250        3.4755157306790352E-002   4.9368723754883437E-006
          83 -0.18147277832031250        3.2973002642393112E-002   5.0164659685464352E-005
          84 -0.18399047851562500        3.3853912726044655E-002   1.7488169742341242E-006
          85 -0.18704223632812500        3.5003127530217171E-002   2.2628840808613937E-005
          86 -0.18339538574218750        3.3666852861642838E-002   4.0722657718067490E-005
          87 -0.18365478515625000        3.3741148188710213E-002   1.4898862821910441E-005
          88 -0.18340301513671875        3.3674892969429493E-002   4.7193841040994722E-005
          89 -0.18283843994140625        3.3432767726480961E-002   3.5464277816990575E-006
          90 -0.18865203857421875        3.5593167878687382E-002   4.4150873635753762E-006
          91 -0.17970275878906250        3.2308720052242279E-002   1.9306835915250398E-005
          92 -0.18583679199218750        3.4541850909590721E-002   8.0711755127416129E-006
          93 -0.18296813964843750        3.3541511744260788E-002   7.9224225896373790E-005
          94 -0.18365478515625000        3.3744519576430321E-002   1.9061070216208620E-005
          95 -0.18392944335937500        3.3854899927973747E-002   3.0691105518232398E-005
          96 -0.18285369873046875        3.3476105891168118E-002   5.0161425926266434E-005
          97 -0.18475341796875000        3.4139474853873253E-002   6.9745718380698207E-006
          98 -0.17926788330078125        3.2181282527744770E-002   5.4701911285405524E-005
          99 -0.18195343017578125        3.3116639591753483E-002   1.1838073810423178E-005
         100 -0.17598724365234375        3.1032589264214039E-002   7.5406593509942665E-005
         101 -0.18086242675781250        3.2733315601944923E-002   2.7281717265209560E-005
         102 -0.18779754638671875        3.5287407226860523E-002   2.4060246352243519E-005
         103 -0.18006134033203125        3.2472961582243443E-002   6.2809017455901783E-005
         104 -0.18617248535156250        3.4676128998398781E-002   1.9672466288561674E-005
         105 -0.18344879150390625        3.3694743178784847E-002   5.0967997331542725E-005
         106 -0.18289184570312500        3.3474458381533623E-002   3.0902665231091753E-005
         107 -0.18789672851562500        3.5323426127433777E-002   2.2525360514280557E-005
         108 -0.19276428222656250        3.7190863862633705E-002   4.0488102384245162E-005
         109 -0.18576812744140625        3.4530979581177235E-002   2.6151123188301872E-005
         110 -0.18062591552734375        3.2642492093145847E-002   2.0704610363221632E-005
