 Tiempo,InterPos,InterNeg,InterPN,InterZero,IdealR,MeasuredR, Rho
        1367 ,                   93 ,                  101 ,                 1405 ,                    0 ,   638.30761718750000      ,   223.61268615722656      ,  0.35032119331820744     
        1368 ,                   94 ,                   99 ,                 1406 ,                    0 ,   638.30761718750000      ,   223.77185058593750      ,  0.35057054711632174     
        1369 ,                   92 ,                   97 ,                 1409 ,                    0 ,   638.30761718750000      ,   224.24931335449219      ,  0.35131856070052181     
        1370 ,                   94 ,                   98 ,                 1407 ,                    0 ,   638.30761718750000      ,   223.93099975585938      ,  0.35081987700936468     
        1371 ,                   92 ,                   99 ,                 1408 ,                    0 ,   638.30761718750000      ,   224.09014892578125      ,  0.35106920690240762     
        1372 ,                   93 ,                   98 ,                 1407 ,                    0 ,   638.30761718750000      ,   223.93099975585938      ,  0.35081987700936468     
        1373 ,                   92 ,                   98 ,                 1408 ,                    0 ,   638.30761718750000      ,   224.09014892578125      ,  0.35106920690240762     
        1374 ,                   96 ,                   99 ,                 1404 ,                    0 ,   638.30761718750000      ,   223.45353698730469      ,  0.35007186342516450     
        1375 ,                   93 ,                   98 ,                 1407 ,                    0 ,   638.30761718750000      ,   223.93099975585938      ,  0.35081987700936468     
        1376 ,                   94 ,                   98 ,                 1406 ,                    0 ,   638.30761718750000      ,   223.77185058593750      ,  0.35057054711632174     
        1377 ,                   95 ,                   99 ,                 1405 ,                    0 ,   638.30761718750000      ,   223.61268615722656      ,  0.35032119331820744     
        1378 ,                   93 ,                   98 ,                 1408 ,                    0 ,   638.30761718750000      ,   224.09014892578125      ,  0.35106920690240762     
        1379 ,                   95 ,                   97 ,                 1407 ,                    0 ,   638.30761718750000      ,   223.93099975585938      ,  0.35081987700936468     
        1380 ,                   94 ,                   99 ,                 1405 ,                    0 ,   638.30761718750000      ,   223.61268615722656      ,  0.35032119331820744     
        1381 ,                   94 ,                  100 ,                 1405 ,                    0 ,   638.30761718750000      ,   223.61268615722656      ,  0.35032119331820744     
        1382 ,                   93 ,                  101 ,                 1405 ,                    0 ,   638.30761718750000      ,   223.61268615722656      ,  0.35032119331820744     
        1383 ,                   90 ,                   99 ,                 1410 ,                    0 ,   638.30761718750000      ,   224.40846252441406      ,  0.35156789059356486     
        1384 ,                   92 ,                   99 ,                 1408 ,                    0 ,   638.30761718750000      ,   224.09014892578125      ,  0.35106920690240762     
