 Tiempo,AverMagnetization,AverMagnetization^2,Suceptibility,Cumulant
        3706 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3707 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3708 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3709 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3710 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3711 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3712 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3713 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3714 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3715 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3716 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3717 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3718 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3719 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3720 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3721 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3722 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3723 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3724 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3725 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3726 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3727 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3728 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3729 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3730 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3731 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3732 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3733 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3734 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3735 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3736 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3737 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3738 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3739 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3740 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3741 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3742 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3743 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3744 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3745 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3746 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3747 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3748 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3749 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3750 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
        3751 ,   9.0833334019407626E-003 ,   4.7156250559802506E-004 ,   9.7263889976803076E-004 ,  0.16359950371813547     
