Size,Alfa,Temperatura,Susceptibility,SusceptMCError,AutoCorrelationTime,StdDevBlocking,EffTau,Energy,HeatCapacity,Mabs,SusceptAbs,Cumulant,aMabs,aSusceptAbs,aCumu
128,0.5,1.76,213.04,1.3045,3.96393,3.76557,4.16625,-1.45235,1.31473,0.122234,73.9519,0.0854375,0.0027244,2.44201e-06,-0.0145029
128,0.5,1.755,250.729,1.51076,3.78741,4.04574,3.58571,-1.45964,1.39284,0.132767,86.1698,0.105935,0.00269109,2.37593e-06,0.0116155
128,0.5,1.75,296.713,1.76403,3.59902,4.94627,3.9311,-1.46676,1.44274,0.144566,101.047,0.121725,0.00267659,2.34091e-06,-0.000154766
128,0.5,1.635,6552.07,18.9889,1.65601,2.04727,0.00581195,-1.68004,1.28539,0.808351,4.16081,0.665839,0.00220745,1.70347e-06,-0.00377791
128,0.5,1.745,352.956,2.05447,3.49071,5.36179,3.40557,-1.47377,1.52711,0.15813,118.179,0.148748,0.00266327,2.36041e-06,-0.00108678
128,0.5,1.74,432.068,2.45929,3.46229,6.30119,3.28244,-1.48171,1.59527,0.17564,141.586,0.176518,0.0026899,2.38377e-06,-0.00298199
128,0.5,1.735,552.686,3.02465,3.68597,8.3842,3.84188,-1.49062,1.67432,0.200321,173.745,0.22598,0.00265007,2.29806e-06,-0.0029764
128,0.5,1.63,6683.53,19.2698,1.61641,1.96708,0.00521026,-1.6864,1.24697,0.815209,3.62368,0.665958,0.0021863,1.68159e-06,-0.00123223
128,0.5,1.73,708.787,3.70993,3.81303,10.1456,3.73935,-1.49932,1.84954,0.229451,210.187,0.278362,0.00262075,2.26543e-06,-0.000315005
128,0.5,1.725,929.314,4.57055,4.06185,11.8652,3.36966,-1.50884,2.01425,0.26747,249.827,0.346051,0.00262411,2.25283e-06,0.0238713
128,0.5,1.625,6808.63,19.5298,1.59798,2.01114,0.00530224,-1.69264,1.22337,0.821569,3.21688,0.666047,0.00216571,1.65908e-06,-0.00851304
128,0.5,1.72,1233.64,5.67133,4.43282,14.0177,3.05461,-1.51912,2.22429,0.314455,291.73,0.411066,0.00256489,2.18332e-06,-0.00770833
128,0.5,1.715,1677.14,7.06156,4.67589,17.218,2.9726,-1.53122,2.38354,0.377425,316.268,0.484839,0.00254282,2.16373e-06,-0.00523449
128,0.5,1.62,6929.42,19.7742,1.50163,1.75563,0.00394128,-1.69868,1.18406,0.827573,2.85824,0.666125,0.00214287,1.62374e-06,-0.00176975
128,0.5,1.71,2189.15,8.49104,4.85847,17.9938,2.24539,-1.54328,2.58492,0.443585,303.862,0.54301,0.00253614,2.14874e-06,0.0041009
128,0.5,1.705,2775.1,9.94418,4.68994,18.2171,1.678,-1.55643,2.58746,0.512505,251.084,0.590866,0.00249559,2.09207e-06,-0.00476796
128,0.5,1.615,7040.26,19.9874,1.43127,1.59997,0.00320393,-1.70431,1.15902,0.832897,2.57963,0.666184,0.00213898,1.62739e-06,-0.00254058
128,0.5,1.7,3332.24,11.2738,4.33427,15.4755,0.942144,-1.56914,2.4554,0.571549,183.924,0.620614,0.00246145,2.05812e-06,-0.00929748
128,0.5,1.61,7156.15,20.2114,1.40039,1.48696,0.00270628,-1.71019,1.13043,0.838442,2.29187,0.666244,0.0021135,1.58059e-06,0.00367145
128,0.5,1.605,7263.57,20.4091,1.37204,1.48793,0.00265757,-1.71579,1.10784,0.843412,2.11111,0.666283,0.00210341,1.57425e-06,-0.000253922
128,0.5,1.6,7366.18,20.5901,1.3774,1.3422,0.00212467,-1.72108,1.06918,0.848037,1.92004,0.666322,0.00208397,1.54989e-06,-0.000687666
128,0.5,1.595,7468.9,20.7683,1.29871,1.2598,0.00183979,-1.72645,1.04928,0.852605,1.74884,0.666357,0.00206489,1.53346e-06,-0.00635893
128,0.5,1.59,7569.06,20.9367,1.3051,1.28438,0.00188166,-1.73169,1.03201,0.856965,1.61924,0.666384,0.0020582,1.52215e-06,-0.00230717
128,0.5,1.585,7664.59,21.0891,1.2078,1.17494,0.00155197,-1.73667,1.00102,0.861008,1.48025,0.666411,0.0020325,1.49962e-06,-0.010628
256,0.5,1.8,87.3435,0.56516,27.7109,3.79803,22.581,-1.40268,0.961648,0.0392697,31.1971,0.0356403,0.00154264,7.51359e-07,-0.0269167
256,0.5,1.795,94.4998,0.614728,25.6277,3.65851,17.7098,-1.40773,1.04972,0.0406398,34.1995,0.0209885,0.00135523,6.27709e-07,-0.103113
256,0.5,1.79,106.714,0.689046,23.1546,4.11309,17.816,-1.41428,1.05781,0.0431971,38.3962,0.0284975,0.00138095,6.04947e-07,0.0220602
256,0.5,1.65,24467,71.8631,1.85908,4.97505,0.00239637,-1.65986,1.398,0.784757,6.48471,0.666317,0.00112536,4.36519e-07,0.00349239
256,0.5,1.785,111.687,0.729971,20.4673,4.21949,16.7062,-1.42051,1.28729,0.0440318,40.5042,0.00158281,0.00143514,6.28696e-07,0.0725135
256,0.5,1.78,127.253,0.81935,17.484,4.61147,15.8383,-1.42646,1.19386,0.0469525,46.0862,0.0224786,0.00133736,5.95603e-07,-0.00940226
256,0.5,1.775,143.061,0.918864,16.3664,4.54528,12.2346,-1.4329,1.14374,0.0498297,51.3843,0.0212861,0.00133464,5.83181e-07,-0.0448415
256,0.5,1.77,164.323,1.04676,14.9247,5.29603,12.799,-1.43838,1.38454,0.0532889,59.1803,0.0301082,0.00135142,5.57996e-07,0.0598601
256,0.5,1.765,186.788,1.19603,13.2851,6.10801,13.0402,-1.4452,1.26369,0.0567963,67.0105,0.0155796,0.00137809,5.81425e-07,0.058814
256,0.5,1.76,211.191,1.33404,11.216,5.70982,9.15966,-1.4523,1.40715,0.0604487,75.1273,0.0336342,0.00132193,5.48734e-07,0.0351596
256,0.5,1.64,25655.8,74.6133,1.65235,4.71262,0.00199463,-1.67359,1.32156,0.801188,4.74403,0.666422,0.00110562,4.29995e-07,-0.00744658
256,0.5,1.755,254.617,1.60356,10.1882,7.06666,9.71018,-1.45949,1.37921,0.0661442,91.2421,0.0332583,0.00138317,6.3445e-07,-0.0320711
256,0.5,1.75,301.604,1.90167,8.75562,7.44492,7.66338,-1.46664,1.37996,0.0718472,108.291,0.0257353,0.00133323,5.58544e-07,0.0382022
512,0.5,1.8,85.4932,0.557072,107.131,7.17498,82.9447,-1.40223,0.995136,0.0194613,30.3347,0.0234961,0.00072606,1.86791e-07,-0.0508729
