 Tiempo,  AverEnergy,  AverEnergy^2,  C_v
        3882 , -0.31096191406250001      ,   9.6785658597946161E-002 ,   5.5216625332822275E-004
        3883 , -0.31025390624999999      ,   9.6314692497253412E-002 ,   3.5753846168518413E-004
        3884 , -0.31293945312499999      ,   9.7981047630310056E-002 ,   3.1216442584990067E-004
        3885 , -0.30551757812500002      ,   9.3397200107574463E-002 ,   3.5130977630607949E-004
        3886 , -0.31118164062499998      ,   9.6985268592834475E-002 ,   9.4534456729902447E-004
        3887 , -0.31098632812499999      ,   9.6811783313751218E-002 ,   6.2054395675659527E-004
        3888 , -0.30563964843750002      ,   9.3528813123703008E-002 ,   7.0761516690245191E-004
        3889 , -0.30830078124999999      ,   9.5143175125122076E-002 ,   5.8627128601083239E-004
        3890 , -0.30710449218750002      ,   9.4398814439773562E-002 ,   5.3528323769565581E-004
        3891 , -0.31350097656249998      ,   9.8461741209030146E-002 ,   1.1179931461811378E-003
        3892 , -0.30983886718749998      ,   9.6109312772750852E-002 ,   6.8243220448498815E-004
        3893 , -0.31005859375000000      ,   9.6190595626831049E-002 ,   3.3915042877193796E-004
        3894 , -0.31545410156249998      ,   9.9613803625106814E-002 ,   6.4070895314230145E-004
        3895 , -0.31010742187500001      ,   9.6224248409271240E-002 ,   3.6022067070005936E-004
        3896 , -0.31115722656250000      ,   9.6963292360305792E-002 ,   9.0295448899272573E-004
        3897 , -0.30708007812499999      ,   9.4409298896789548E-002 ,   6.9452822208408357E-004
        3898 , -0.30603027343750000      ,   9.3805903196334833E-002 ,   9.4609335064884531E-004
        3899 , -0.30893554687500002      ,   9.5553421974182123E-002 ,   7.0156157016745130E-004
        3900 , -0.31005859375000000      ,   9.6297633647918698E-002 ,   1.0081380605697458E-003
        3901 , -0.31108398437500001      ,   9.6919357776641846E-002 ,   9.1320276260371119E-004
        3902 , -0.30849609374999998      ,   9.5227992534637457E-002 ,   3.6345422267927349E-004
        3903 , -0.31105957031249998      ,   9.6837180852890017E-002 ,   4.9452856183060390E-004
        3904 , -0.31242675781250001      ,   9.7788411378860476E-002 ,   1.1120773851871352E-003
        3905 , -0.30771484375000002      ,   9.4828546047210693E-002 ,   8.7575614452356509E-004
        3906 , -0.30764160156249998      ,   9.4820588827133179E-002 ,   1.1077113449574350E-003
        3907 , -0.30617675781249998      ,   9.3927770853042603E-002 ,   1.1472739279270831E-003
        3908 , -0.30891113281249999      ,   9.5552414655685425E-002 ,   7.8954175114637204E-004
        3909 , -0.31101074218750002      ,   9.6806341409683222E-002 ,   4.9162283539761278E-004
        3910 , -0.31027832031250002      ,   9.6367961168289190E-002 ,   5.9578195214264260E-004
        3911 , -0.31350097656249998      ,   9.8445886373519892E-002 ,   1.0189004242420509E-003
        3912 , -0.31164550781250000      ,   9.7243458032608032E-002 ,   7.5334683060646057E-004
        3913 , -0.31345214843750002      ,   9.8373025655746460E-002 ,   7.5485184788696633E-004
